,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,factual_recall_keyword,is_duplicate,question_type,is_numeric_answer
536,567,Which of these tasks can not be aided by a Vanishing Spell?,Dancing,"['which', 'task', 'can', 'aid', 'vanishing', 'spell']",['dance'],"['which', 'task', 'can', 'aid', 'vanishing', 'spell', 'dance']",['which'],False,MCQ,False
558,592,Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles,"['which', 'follow', 'book', 'be', 'write', 'rita', 'skeeter']","['easy', 'spell', 'fool', 'muggles']","['which', 'follow', 'book', 'be', 'write', 'rita', 'skeeter', 'easy', 'spell', 'fool', 'muggles']",['which'],False,MCQ,False
560,595,Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,"['which', 'follow', 'be', 'side', 'effect', 'wiggenweld', 'potion']","['heal', 'injury']","['which', 'follow', 'be', 'side', 'effect', 'wiggenweld', 'potion', 'heal', 'injury']",['which'],False,MCQ,False
570,605,Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn,"['which', 'be', 'ingredient', 'polyjuice', 'potion']","['powder', 'bicorn', 'horn']","['which', 'be', 'ingredient', 'polyjuice', 'potion', 'powder', 'bicorn', 'horn']",['which'],True,MCQ,False
573,608,Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine,"['which', 'be', 'wiggenweld', 'potion', 'ingredient', 'sea']","['lionfish', 'spine']","['which', 'be', 'wiggenweld', 'potion', 'ingredient', 'sea', 'lionfish', 'spine']",['which'],False,MCQ,False
600,636,Which of the following would be the easiest Transfiguration?,Porcupine to Pincushion,"['which', 'follow', 'would', 'easiest', 'transfiguration']","['porcupine', 'pincushion']","['which', 'follow', 'would', 'easiest', 'transfiguration', 'porcupine', 'pincushion']",['which'],False,MCQ,False
638,677,In which of these scenarios would you use Cistem Aperio?,Blasting Open a Locked Trunk,"['which', 'scenario', 'would', 'use', 'cistem', 'aperio']","['blast', 'open', 'lock', 'trunk']","['which', 'scenario', 'would', 'use', 'cistem', 'aperio', 'blast', 'open', 'lock', 'trunk']",['which'],False,MCQ,False
707,749,"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Gregory Goyle?",Lavender Brown,"['who', 'be', 'slytherin', 'lavender', 'brown', 'pansy', 'parkinson', 'blaise', 'zabini', 'gregory', 'goyle']","['lavender', 'brown']","['who', 'be', 'slytherin', 'lavender', 'brown', 'pansy', 'parkinson', 'blaise', 'zabini', 'gregory', 'goyle']",['who'],False,MCQ,False
717,759,Which of the following reptile's blood is used for Wiggenweld Potion?,Salamander,"['which', 'follow', 'reptile', 'blood', 'be', 'use', 'wiggenweld', 'potion']",['salamander'],"['which', 'follow', 'reptile', 'blood', 'be', 'use', 'wiggenweld', 'potion', 'salamander']",['which'],False,MCQ,False
740,785,Which of the following is NOT another name for Belladonna?,Flitterbloom,"['which', 'follow', 'be', 'another', 'name', 'belladonna']",['flitterbloom'],"['which', 'follow', 'be', 'another', 'name', 'belladonna', 'flitterbloom']","['name', 'which']",True,MCQ,False
746,792,Which of these is not a species of dragon?,Finnish Flamethrower,"['which', 'be', 'specie', 'dragon']","['finnish', 'flamethrower']","['which', 'be', 'specie', 'dragon', 'finnish', 'flamethrower']",['which'],False,MCQ,False
749,795,"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy,"['who', 'be', 'gryffindor', 'harry', 'potter', 'ron', 'weasley', 'draco', 'malfoy', 'ginny']","['draco', 'malfoy']","['who', 'be', 'gryffindor', 'harry', 'potter', 'ron', 'weasley', 'draco', 'malfoy', 'ginny']",['who'],False,MCQ,False
802,849,Which of the following creatures eat Fairy Eggs?,Bowtruckles,"['which', 'follow', 'creature', 'eat', 'fairy', 'egg']",['bowtruckles'],"['which', 'follow', 'creature', 'eat', 'fairy', 'egg', 'bowtruckles']",['which'],False,MCQ,False
826,874,Which of the following Charms did we learn in the first year?,Knockback Jinx,"['which', 'follow', 'charm', 'do', 'learn', 'first', 'year']","['knockback', 'jinx']","['which', 'follow', 'charm', 'do', 'learn', 'first', 'year', 'knockback', 'jinx']",['which'],False,MCQ,False
827,875,Which of these factors does not affect Transfiguration?,Hue,"['which', 'factor', 'do', 'affect', 'transfiguration']",['hue'],"['which', 'factor', 'do', 'affect', 'transfiguration', 'hue']",['which'],False,MCQ,False
830,879,Which of these being does not live on the Hogwarts grounds?,Goblins,"['which', 'do', 'live', 'hogwarts', 'ground']",['goblin'],"['which', 'do', 'live', 'hogwarts', 'ground', 'goblin']",['which'],False,MCQ,False
851,900,Which of the following is NOT an ingredient in the Antidote to Common Potions?,Red Myrrh,"['which', 'follow', 'be', 'ingredient', 'antidote', 'common', 'potion']","['red', 'myrrh']","['which', 'follow', 'be', 'ingredient', 'antidote', 'common', 'potion', 'red', 'myrrh']",['which'],False,MCQ,False
881,932,Which of these plants has healing properties?,Dittany,"['which', 'plant', 'have', 'heal', 'property']",['dittany'],"['which', 'plant', 'have', 'heal', 'property', 'dittany']",['which'],False,MCQ,False
890,941,Which of these plants doesn't bite?,Whomping Willow,"['which', 'plant', 'doesnt', 'bite']","['whomp', 'willow']","['which', 'plant', 'doesnt', 'bite', 'whomp', 'willow']",['which'],False,MCQ,False
912,963,Which of these plants is a Class C non-traceable substance?,Venomous Tentacula,"['which', 'plant', 'be', 'class', 'nontraceable', 'substance']","['venomous', 'tentacula']","['which', 'plant', 'be', 'class', 'nontraceable', 'substance', 'venomous', 'tentacula']",['which'],False,MCQ,False
932,986,An Infusion of Wormwood is NOT an ingredient in which of these potions?,Beautification Potion,"['infusion', 'wormwood', 'be', 'ingredient', 'which', 'potion']","['beautification', 'potion']","['infusion', 'wormwood', 'be', 'ingredient', 'which', 'potion', 'beautification']",['which'],False,MCQ,False
955,1010,Which of these spells does not make something smaller?,Reducto,"['which', 'spell', 'do', 'make', 'something', 'small']",['reducto'],"['which', 'spell', 'do', 'make', 'something', 'small', 'reducto']",['which'],False,MCQ,False
957,1012,Which of these birds is a relative of the rook?,Ravens,"['which', 'bird', 'be', 'relative', 'rook']",['raven'],"['which', 'bird', 'be', 'relative', 'rook', 'raven']",['which'],False,MCQ,False
978,1034,Which of these is not a type of concealment charm?,Confundus Charm,"['which', 'be', 'type', 'concealment', 'charm']","['confundus', 'charm']","['which', 'be', 'type', 'concealment', 'charm', 'confundus']",['which'],False,MCQ,False
984,1040,Regerminating Potions work wonders on which of the following?,Dead plants.,"['regerminating', 'potion', 'work', 'wonder', 'which', 'follow']","['dead', 'plant']","['regerminating', 'potion', 'work', 'wonder', 'which', 'follow', 'dead', 'plant']",['which'],False,MCQ,False
1014,1072,In which of these scenarios would you use the Muffliato Charm?,Preventing Eavesdropping,"['which', 'scenario', 'would', 'use', 'muffliato', 'charm']","['prevent', 'eavesdropping']","['which', 'scenario', 'would', 'use', 'muffliato', 'charm', 'prevent', 'eavesdropping']",['which'],False,MCQ,False
