,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword
10,10,Vipera Evanesca is used to vaporize what kind of creature?,Snake,['vipera' 'evanesca' 'be' 'use' 'vaporize' 'what' 'kind' 'creature'],['snake'],"['vipera' 'evanesca' 'be' 'use' 'vaporize' 'what' 'kind' 'creature'
 'snake']",['be' 'what'],what
11,11,"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,['when' 'rid' 'face' 'backwards' 'how' 'do' 'steer' 'work'],['turn' 'opposite' 'direction'],"['when' 'rid' 'face' 'backwards' 'how' 'do' 'steer' 'work' 'turn'
 'opposite' 'direction']",['when' 'how' 'do'],when
12,12,How old was Luna when she lost her mom?,Nine,['how' 'old' 'be' 'luna' 'when' 'lose' 'mom'],['nine'],['how' 'old' 'be' 'luna' 'when' 'lose' 'mom' 'nine'],['how' 'be' 'when'],how
13,13,Who or what determines the House for each first year student?,The Sorting Hat,['who' 'what' 'determine' 'house' 'first' 'year' 'student'],['sorting' 'hat'],['who' 'what' 'determine' 'house' 'first' 'year' 'student' 'sorting' 'hat'],['who' 'what'],who
14,14,What is the root language of any spells?,Latin,['what' 'be' 'root' 'language' 'spell'],['latin'],['what' 'be' 'root' 'language' 'spell' 'latin'],['what' 'be'],what
15,15,What did Regulus Black become after he died?,Inferi,['what' 'do' 'regulus' 'black' 'become' 'die'],['inferi'],['what' 'do' 'regulus' 'black' 'become' 'die' 'inferi'],['what' 'do'],what
16,16,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['cedric' 'diggory' 'let' 'harry' 'use' 'prefect' 'bathroom' 'goblet'
 'fire' 'what' 'man' 'statue' 'be' 'next' 'special' 'lavatory' 'entrance']",['boris' 'bewildered'],"['cedric' 'diggory' 'let' 'harry' 'use' 'prefect' 'bathroom' 'goblet'
 'fire' 'what' 'man' 'statue' 'be' 'next' 'special' 'lavatory' 'entrance'
 'boris' 'bewildered']",['what' 'be'],what
17,17,"Who is known as the ""Chosen One""?",Harry Potter,['who' 'be' 'know' 'chosen' 'one'],['harry' 'potter'],['who' 'be' 'know' 'chosen' 'one' 'harry' 'potter'],['who' 'be'],who
18,18,Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,['who' 'destroy' 'horcrux' 'helga' 'hufflepuff' 'cup'],['hermione' 'granger'],['who' 'destroy' 'horcrux' 'helga' 'hufflepuff' 'cup' 'hermione' 'granger'],['who'],who
19,19,What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,['what' 'be' 'filch' 'hogwarts' 'caretaker' 'great' 'secret'],['squib'],['what' 'be' 'filch' 'hogwarts' 'caretaker' 'great' 'secret' 'squib'],['what' 'be'],what
20,20,What is the name of America's magical government?,MACUSA,['what' 'be' 'name' 'america' 'magical' 'government'],['macusa'],['what' 'be' 'name' 'america' 'magical' 'government' 'macusa'],['what' 'be' 'name'],what
21,21,What year was the first match?,1050 AD,['what' 'year' 'be' 'first' 'match'],['1050' 'ad'],['what' 'year' 'be' 'first' 'match' '1050' 'ad'],['what' 'be'],what
22,22,What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,"['what' 'potion' 'allow' 'witch' 'wizard' 'disguise' 'someone' 'else'
 'limited' 'amount' 'time']",['polyjuice' 'potion'],"['what' 'potion' 'allow' 'witch' 'wizard' 'disguise' 'someone' 'else'
 'limited' 'amount' 'time' 'polyjuice']",['what'],what
23,23,What kind of core did Harry's first want possess?,Phoenix Feather,['what' 'kind' 'core' 'do' 'harry' 'first' 'want' 'possess'],['phoenix' 'feather'],"['what' 'kind' 'core' 'do' 'harry' 'first' 'want' 'possess' 'phoenix'
 'feather']",['what' 'do'],what
24,24,What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,['what' 'do' 'boggart' 'reveal' 'seamus' 'finnigan' 'bad' 'fear' 'be'],['banshee'],"['what' 'do' 'boggart' 'reveal' 'seamus' 'finnigan' 'bad' 'fear' 'be'
 'banshee']",['what' 'do' 'be'],what
25,25,What is Ron's middle name?,Bilius,['what' 'be' 'ron' 'middle' 'name'],['bilius'],['what' 'be' 'ron' 'middle' 'name' 'bilius'],['what' 'be' 'name'],what
26,26,Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,"['which' 'dragon' 'do' 'cedric' 'diggory' 'face' 'first' 'task'
 'triwizard' 'tournament']",['swedish' 'short' 'snout'],"['which' 'dragon' 'do' 'cedric' 'diggory' 'face' 'first' 'task'
 'triwizard' 'tournament' 'swedish' 'short' 'snout']",['which' 'do'],which
27,27,Where are flying lessons held?,Training Grounds,['where' 'be' 'fly' 'lesson' 'hold'],['train' 'ground'],['where' 'be' 'fly' 'lesson' 'hold' 'train' 'ground'],['where' 'be'],where
28,28,"""Lemon Drop"" is the password to whose office?",Dumbledore,['lemon' 'drop' 'be' 'password' 'who' 'office'],['dumbledore'],['lemon' 'drop' 'be' 'password' 'who' 'office' 'dumbledore'],['be' 'who'],who
29,29,A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,['statue' 'what' 'creature' 'mark' 'entrance' 'headmaster' 'office'],['gargoyle'],"['statue' 'what' 'creature' 'mark' 'entrance' 'headmaster' 'office'
 'gargoyle']",['what'],what
30,30,Who has been to every Quidditch World Cup since they were born?,Merula,['who' 'have' 'be' 'every' 'quidditch' 'world' 'cup' 'since' 'bear'],['merula'],"['who' 'have' 'be' 'every' 'quidditch' 'world' 'cup' 'since' 'bear'
 'merula']",['who' 'have' 'be'],who
31,31,Who founded Hogsmeade Village?,Hengist of Woodcroft,['who' 'found' 'hogsmeade' 'village'],['hengist' 'woodcroft'],['who' 'found' 'hogsmeade' 'village' 'hengist' 'woodcroft'],['who'],who
32,32,Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,['who' 'be' 'first' 'quidditch' 'referee' 'die' 'match'],['cyprian' 'youdle'],['who' 'be' 'first' 'quidditch' 'referee' 'die' 'match' 'cyprian' 'youdle'],['who' 'be'],who
33,33,Madam Hooch has distinct yellow what?,Eyes,['madam' 'hooch' 'have' 'distinct' 'yellow' 'what'],['eye'],['madam' 'hooch' 'have' 'distinct' 'yellow' 'what' 'eye'],['have' 'what'],what
34,34,What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,"['what' 'eavesdrop' 'tool' 'do' 'fred' 'george' 'invent' 'harry' 'potter'
 'order' 'phoenix']",['extendable' 'ear'],"['what' 'eavesdrop' 'tool' 'do' 'fred' 'george' 'invent' 'harry' 'potter'
 'order' 'phoenix' 'extendable' 'ear']",['what' 'do'],what
35,35,What does 'Meteolojinx Recanto' do?,Dispel weather charms,['what' 'do' 'meteolojinx' 'recanto'],['dispel' 'weather' 'charm'],['what' 'do' 'meteolojinx' 'recanto' 'dispel' 'weather' 'charm'],['what' 'do'],what
36,36,At what age can you earn your Apparition license?,17,['what' 'age' 'can' 'earn' 'apparition' 'license'],['17'],['what' 'age' 'can' 'earn' 'apparition' 'license' '17'],['what' 'can'],what
37,37,What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,['what' 'do' 'vermillious' 'spell' 'make' 'appear' 'tip' 'one' 'wand'],['red' 'spark'],"['what' 'do' 'vermillious' 'spell' 'make' 'appear' 'tip' 'one' 'wand'
 'red' 'spark']",['what' 'do'],what
38,38,What is the name of the house-elf that belongs to the Malfoy family?,Dobby,['what' 'be' 'name' 'house' 'elf' 'belong' 'malfoy' 'family'],['dobby'],['what' 'be' 'name' 'house' 'elf' 'belong' 'malfoy' 'family' 'dobby'],['what' 'be' 'name'],what
39,39,What does 'Colloportus' do?,Lock and seal doors,['what' 'do' 'colloportus'],['lock' 'seal' 'door'],['what' 'do' 'colloportus' 'lock' 'seal' 'door'],['what' 'do'],what
40,40,How is Quodpot different from Quidditch?,The ball explodes,['how' 'be' 'quodpot' 'different' 'quidditch'],['ball' 'explodes'],['how' 'be' 'quodpot' 'different' 'quidditch' 'ball' 'explodes'],['how' 'be'],how
41,41,What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob),['what' 'be' 'professor' 'snape' 'patronus'],['doe' 'lily' 'potter' 'sob'],['what' 'be' 'professor' 'snape' 'patronus' 'doe' 'lily' 'potter' 'sob'],['what' 'be'],what
42,42,Where is Hogwarts located?,Scotland,['where' 'be' 'hogwarts' 'locate'],['scotland'],['where' 'be' 'hogwarts' 'locate' 'scotland'],['where' 'be'],where
43,43,Catching what object ends a Quidditch match?,Golden Snitch,['catch' 'what' 'object' 'end' 'quidditch' 'match'],['golden' 'snitch'],['catch' 'what' 'object' 'end' 'quidditch' 'match' 'golden' 'snitch'],['what'],what
44,44,What is the Chudley Cannons' team colour?,Orange,['what' 'be' 'chudley' 'cannon' 'team' 'colour'],['orange'],['what' 'be' 'chudley' 'cannon' 'team' 'colour' 'orange'],['what' 'be'],what
45,45,Who previously held Snape's post?,Horace Slughorn,['who' 'previously' 'hold' 'snape' 'post'],['horace' 'slughorn'],['who' 'previously' 'hold' 'snape' 'post' 'horace' 'slughorn'],['who'],who
46,46,What sensation accompanies the Sea Urchin Jinx?,Discomfort,['what' 'sensation' 'accompany' 'sea' 'urchin' 'jinx'],['discomfort'],['what' 'sensation' 'accompany' 'sea' 'urchin' 'jinx' 'discomfort'],['what'],what
47,47,How often does a Streeler's shell change colour?,Every Hour,['how' 'often' 'do' 'streeler' 'shell' 'change' 'colour'],['every' 'hour'],['how' 'often' 'do' 'streeler' 'shell' 'change' 'colour' 'every' 'hour'],['how' 'do'],how
48,48,Who becomes the Charms professor after Professor Flitwick?,Filius Flitwick remains the Charms professor throughout the series.,['who' 'become' 'charm' 'professor' 'flitwick'],['filius' 'flitwick' 'remain' 'charm' 'professor' 'throughout' 'series'],"['who' 'become' 'charm' 'professor' 'flitwick' 'filius' 'remain'
 'throughout' 'series']",['who'],who
49,49,Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,['who' 'be' 'hogwarts' 'student' 'curse' 'get' 'rid' 'acne'],['eloise' 'midgen'],"['who' 'be' 'hogwarts' 'student' 'curse' 'get' 'rid' 'acne' 'eloise'
 'midgen']",['who' 'be'],who
50,50,Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,['who' 'famously' 'craft' 'wand' 'core' 'jackalope' 'antler'],['isolt' 'sayre'],"['who' 'famously' 'craft' 'wand' 'core' 'jackalope' 'antler' 'isolt'
 'sayre']",['who'],who
51,51,Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,['which' 'centaur' 'rescue' 'harry' 'forbidden' 'forest' 'book'],['firenze'],['which' 'centaur' 'rescue' 'harry' 'forbidden' 'forest' 'book' 'firenze'],['which'],which
52,52,What is the core of Draco Malfoy's wand?,Unicorn hair,['what' 'be' 'core' 'draco' 'malfoy' 'wand'],['unicorn' 'hair'],['what' 'be' 'core' 'draco' 'malfoy' 'wand' 'unicorn' 'hair'],['what' 'be'],what
53,53,"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"['book' 'which' 'old' 'friend' 'do' 'harry' 'ron' 'hermione' 'run' 'st'
 'mungo' 'hospital' 'magical' 'malady' 'injury']",['gilderoy' 'lockhart'],"['book' 'which' 'old' 'friend' 'do' 'harry' 'ron' 'hermione' 'run' 'st'
 'mungo' 'hospital' 'magical' 'malady' 'injury' 'gilderoy' 'lockhart']",['which' 'do'],which
54,54,Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,['which' 'creature' 'hair' 'be' 'often' 'weave' 'invisibility' 'cloak'],['demiguise'],"['which' 'creature' 'hair' 'be' 'often' 'weave' 'invisibility' 'cloak'
 'demiguise']",['which' 'be'],which
55,55,What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,['what' 'painting' 'guard' 'entrance' 'gryffindor' 'common' 'room'],['fat' 'lady'],"['what' 'painting' 'guard' 'entrance' 'gryffindor' 'common' 'room' 'fat'
 'lady']",['what'],what
56,56,How did I become a metamorphagus?,You were born one.,['how' 'do' 'become' 'metamorphagus'],['be' 'bear' 'one'],['how' 'do' 'become' 'metamorphagus' 'be' 'bear' 'one'],['how' 'do'],how
57,57,What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,['what' 'happen' 'quidditch' 'world' 'cup' '1473'],['player' 'commit' 'foul'],['what' 'happen' 'quidditch' 'world' 'cup' '1473' 'player' 'commit' 'foul'],['what'],what
58,58,What's Helga Hufflepuff's signature item?,Cup,['what' 'helga' 'hufflepuff' 'signature' 'item'],['cup'],['what' 'helga' 'hufflepuff' 'signature' 'item' 'cup'],['what'],what
59,59,From which word did the Mirror of Erised get its name?,Desire,['which' 'word' 'do' 'mirror' 'erised' 'get' 'name'],['desire'],['which' 'word' 'do' 'mirror' 'erised' 'get' 'name' 'desire'],['which' 'do' 'name'],which
60,60,What is the correct pronunciation of the Levitation Charm?,Win-GAR-dium Levi-OH-sa.,['what' 'be' 'correct' 'pronunciation' 'levitation' 'charm'],['win' 'gar' 'dium' 'levi' 'oh' 'sa'],"['what' 'be' 'correct' 'pronunciation' 'levitation' 'charm' 'win' 'gar'
 'dium' 'levi' 'oh' 'sa']",['what' 'be'],what
61,61,Where is the nearest dragon reserve?,Romania,['where' 'be' 'near' 'dragon' 'reserve'],['romania'],['where' 'be' 'near' 'dragon' 'reserve' 'romania'],['where' 'be'],where
62,62,Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,['where' 'do' 'dumbledore' 'meet' 'tom' 'riddle' 'first' 'time'],['wool' 'ophanage'],"['where' 'do' 'dumbledore' 'meet' 'tom' 'riddle' 'first' 'time' 'wool'
 'ophanage']",['where' 'do'],where
63,63,What spell duplicates an item?,Geminio,['what' 'spell' 'duplicate' 'item'],['geminio'],['what' 'spell' 'duplicate' 'item' 'geminio'],['what'],what
64,64,Which of these is not a type of broom?,Phoenix,['which' 'be' 'type' 'broom'],['phoenix'],['which' 'be' 'type' 'broom' 'phoenix'],['which' 'be'],which
65,65,Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.,['where' 'can' 'dark' 'cloud' 'constellation' 'be' 'easily' 'see'],['southern' 'hemisphere'],"['where' 'can' 'dark' 'cloud' 'constellation' 'be' 'easily' 'see'
 'southern' 'hemisphere']",['where' 'can' 'be'],where
66,66,What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,"['what' 'fake' 'illness' 'do' 'ron' 'weasley' 'say' 'have' 'cover'
 'absence' 'hogwarts']",['spattergroit'],"['what' 'fake' 'illness' 'do' 'ron' 'weasley' 'say' 'have' 'cover'
 'absence' 'hogwarts' 'spattergroit']",['what' 'do' 'have'],what
67,67,What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,"['what' 'be' 'name' 'dragon' 'harry' 'potter' 'face' 'first' 'task'
 'triwizard' 'tournament']",['hungarian' 'horntail'],"['what' 'be' 'name' 'dragon' 'harry' 'potter' 'face' 'first' 'task'
 'triwizard' 'tournament' 'hungarian' 'horntail']",['what' 'be' 'name'],what
68,68,Professor Snape is the head of which Hogwarts house?,Slytherin,['professor' 'snape' 'be' 'head' 'which' 'hogwarts' 'house'],['slytherin'],['professor' 'snape' 'be' 'head' 'which' 'hogwarts' 'house' 'slytherin'],['be' 'which'],which
69,69,Professor Sprout was the head of what department at Hogwarts?,Herbology,['professor' 'sprout' 'be' 'head' 'what' 'department' 'hogwarts'],['herbology'],"['professor' 'sprout' 'be' 'head' 'what' 'department' 'hogwarts'
 'herbology']",['be' 'what'],what
70,70,What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),['what' 'magical' 'creature' 'be' 'know' 'guard' 'gringott' 'bank'],['ukrainian' 'ironbelly' 'dragon'],"['what' 'magical' 'creature' 'be' 'know' 'guard' 'gringott' 'bank'
 'ukrainian' 'ironbelly' 'dragon']",['what' 'be'],what
71,71,What magical sport is popular in North America?,Quodpot,['what' 'magical' 'sport' 'be' 'popular' 'north' 'america'],['quodpot'],['what' 'magical' 'sport' 'be' 'popular' 'north' 'america' 'quodpot'],['what' 'be'],what
72,72,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,"['ginny' 'weasley' 'buy' 'pet' 'pygmy' 'puff' 'old' 'brother' 'joke'
 'shop' 'what' 'do' 'name']",['arnold'],"['ginny' 'weasley' 'buy' 'pet' 'pygmy' 'puff' 'old' 'brother' 'joke'
 'shop' 'what' 'do' 'name' 'arnold']",['what' 'do' 'name'],what
73,73,"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,['dumbledore' 'who' 'be' 'headmaster' 'hogwarts'],['armando' 'dippet'],['dumbledore' 'who' 'be' 'headmaster' 'hogwarts' 'armando' 'dippet'],['who' 'be'],who
74,74,I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,['be' 'surprise' 'know' 'what' 'first' 'step' 'fly' 'broom'],['kick'],['be' 'surprise' 'know' 'what' 'first' 'step' 'fly' 'broom' 'kick'],['be' 'what'],what
75,75,What is the incantation for the Memory Charm?,Obliviate,['what' 'be' 'incantation' 'memory' 'charm'],['obliviate'],['what' 'be' 'incantation' 'memory' 'charm' 'obliviate'],['what' 'be'],what
76,76,In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,['which' 'scenario' 'wiould' 'use' 'deflating' 'drought'],['nulling' 'effect' 'swell' 'solution'],"['which' 'scenario' 'wiould' 'use' 'deflating' 'drought' 'nulling'
 'effect' 'swell' 'solution']",['which'],which
77,77,Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.",['who' 'do' 'harry' 'live' 'go' 'hogwarts'],['aunt' 'uncle' 'petunia' 'vernon' 'dursley' 'cousin' 'dudley'],"['who' 'do' 'harry' 'live' 'go' 'hogwarts' 'aunt' 'uncle' 'petunia'
 'vernon' 'dursley' 'cousin' 'dudley']",['who' 'do'],who
78,78,"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,['order' 'phoenix' 'who' 'give' 'fly' 'lesson' 'harry' 'group'],['rolanda' 'hooch'],"['order' 'phoenix' 'who' 'give' 'fly' 'lesson' 'harry' 'group' 'rolanda'
 'hooch']",['who'],who
79,79,What is the name of Ron's brother who works at Gringotts?,Bill Weasley,['what' 'be' 'name' 'ron' 'brother' 'who' 'work' 'gringotts'],['bill' 'weasley'],"['what' 'be' 'name' 'ron' 'brother' 'who' 'work' 'gringotts' 'bill'
 'weasley']",['what' 'be' 'name' 'who'],what
80,80,Which of these charms is the dancing-feet jinx?,Tarantallegra,['which' 'charm' 'be' 'dance' 'foot' 'jinx'],['tarantallegra'],['which' 'charm' 'be' 'dance' 'foot' 'jinx' 'tarantallegra'],['which' 'be'],which
81,81,Phyllomancy is the practice of seeing the future with what?,Leaves,['phyllomancy' 'be' 'practice' 'see' 'future' 'what'],['leaf'],['phyllomancy' 'be' 'practice' 'see' 'future' 'what' 'leaf'],['be' 'what'],what
82,82,Who created the Sorcerer's Stone?,Nicolas Flamel,['who' 'create' 'sorcerer' 'stone'],['nicolas' 'flamel'],['who' 'create' 'sorcerer' 'stone' 'nicolas' 'flamel'],['who'],who
83,83,What magical bird did Uric have fifty of in his house?,Augureys,['what' 'magical' 'bird' 'do' 'uric' 'have' 'fifty' 'house'],['augureys'],['what' 'magical' 'bird' 'do' 'uric' 'have' 'fifty' 'house' 'augureys'],['what' 'do' 'have'],what
84,84,Which Quidditch team is last in the league?,Chudley Cannons,['which' 'quidditch' 'team' 'be' 'last' 'league'],['chudley' 'cannon'],['which' 'quidditch' 'team' 'be' 'last' 'league' 'chudley' 'cannon'],['which' 'be'],which
85,85,What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,"['what' 'do' 'mean' 'when' 'magical' 'creature' 'be' 'classify' 'xxx'
 'ministry' 'magic']",['competent' 'wizard' 'should' 'cope'],"['what' 'do' 'mean' 'when' 'magical' 'creature' 'be' 'classify' 'xxx'
 'ministry' 'magic' 'competent' 'wizard' 'should' 'cope']",['what' 'do' 'when' 'be'],what
86,86,What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,"['what' 'be' 'name' 'black' 'family' 'ancestral' 'home' 'harry' 'potter'
 'series']",['grimmauld' 'place'],"['what' 'be' 'name' 'black' 'family' 'ancestral' 'home' 'harry' 'potter'
 'series' 'grimmauld' 'place']",['what' 'be' 'name'],what
87,87,Which of the following is caused by space weather?,Auroras.,['which' 'following' 'be' 'cause' 'space' 'weather'],['aurora'],['which' 'following' 'be' 'cause' 'space' 'weather' 'aurora'],['which' 'be'],which
88,88,What does the Ear-Shrivelling Curse cause?,Ears to wither,['what' 'do' 'ear' 'shrivel' 'curse' 'cause'],['ear' 'wither'],['what' 'do' 'ear' 'shrivel' 'curse' 'cause' 'wither'],['what' 'do'],what
89,89,How many Horcruxes did Voldemort create intentionally?,Six,['how' 'many' 'horcruxes' 'do' 'voldemort' 'create' 'intentionally'],['six'],['how' 'many' 'horcruxes' 'do' 'voldemort' 'create' 'intentionally' 'six'],['how' 'do'],how
90,90,My voice is best compared to what?,A Vacuum Cleaner,['voice' 'be' 'best' 'compare' 'what'],['vacuum' 'clean'],['voice' 'be' 'best' 'compare' 'what' 'vacuum' 'clean'],['be' 'what'],what
91,91,When did Harry learn Accio?,Year 4,['when' 'do' 'harry' 'learn' 'accio'],['year'],['when' 'do' 'harry' 'learn' 'accio' 'year'],['when' 'do'],when
92,92,What type of magical creature is Dobby?,House-elf,['what' 'type' 'magical' 'creature' 'be' 'dobby'],['house' 'elf'],['what' 'type' 'magical' 'creature' 'be' 'dobby' 'house' 'elf'],['what' 'be'],what
93,93,Which is not the form of Transfiguration?,Enchantment,['which' 'be' 'form' 'transfiguration'],['enchantment'],['which' 'be' 'form' 'transfiguration' 'enchantment'],['which' 'be'],which
94,94,"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,['triwizard' 'tournament' 'who' 'escort' 'hermione' 'yule' 'ball'],['viktor' 'krum'],"['triwizard' 'tournament' 'who' 'escort' 'hermione' 'yule' 'ball' 'viktor'
 'krum']",['who'],who
95,95,Which of these is not a type of broom?,Occamy,['which' 'be' 'type' 'broom'],['occamy'],['which' 'be' 'type' 'broom' 'occamy'],['which' 'be'],which
96,96,What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,['what' 'be' 'emblem' 'st' 'mungo' 'hospital' 'magical' 'malady' 'injury'],['wand' 'cross' 'bone'],"['what' 'be' 'emblem' 'st' 'mungo' 'hospital' 'magical' 'malady' 'injury'
 'wand' 'cross' 'bone']",['what' 'be'],what
97,97,Which part of the asphodel plant is used in Draught of Living Death?,Root,['which' 'part' 'asphodel' 'plant' 'be' 'use' 'draught' 'living' 'death'],['root'],"['which' 'part' 'asphodel' 'plant' 'be' 'use' 'draught' 'living' 'death'
 'root']",['which' 'be'],which
98,98,What’s the best solution for a broken nose?,Episkey,['what' 'best' 'solution' 'broken' 'nose'],['episkey'],['what' 'best' 'solution' 'broken' 'nose' 'episkey'],['what'],what
99,99,What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,['what' 'do' 'mimbulus' 'mimbletonia' 'use' 'defence' 'mechanism'],['stinksap'],"['what' 'do' 'mimbulus' 'mimbletonia' 'use' 'defence' 'mechanism'
 'stinksap']",['what' 'do'],what
100,100,How many Rogue Planets exist in the Milky Way?,Billions.,['how' 'many' 'rogue' 'planet' 'exist' 'milky' 'way'],['billion'],['how' 'many' 'rogue' 'planet' 'exist' 'milky' 'way' 'billion'],['how'],how
101,101,A Nimbus is a type of what?,Broom,['nimbus' 'be' 'type' 'what'],['broom'],['nimbus' 'be' 'type' 'what' 'broom'],['be' 'what'],what
102,102,What Quidditch players fend off the Bludgers?,The Beaters,['what' 'quidditch' 'player' 'fend' 'bludgers'],['beater'],['what' 'quidditch' 'player' 'fend' 'bludgers' 'beater'],['what'],what
103,103,Did Muggles use ancient runes as well?,They did.,['do' 'muggles' 'use' 'ancient' 'rune' 'well'],['do'],['do' 'muggles' 'use' 'ancient' 'rune' 'well'],['do'],do
104,104,Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,"['why' 'do' 'liechtenstein' 'attend' 'first' 'meeting' 'international'
 'confederation' 'wizard']",['stance' 'troll' 'right'],"['why' 'do' 'liechtenstein' 'attend' 'first' 'meeting' 'international'
 'confederation' 'wizard' 'stance' 'troll' 'right']",['why' 'do'],why
