,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword,question_length,answer_length,question_type,answer_type
24,32,Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,['who' 'be' 'first' 'quidditch' 'referee' 'die' 'match'],['cyprian' 'youdle'],['who' 'be' 'first' 'quidditch' 'referee' 'die' 'match' 'cyprian' 'youdle'],['who' 'be'],who,12,2,FR,text
25,33,Madam Hooch has distinct yellow what?,Eyes,['madam' 'hooch' 'have' 'distinct' 'yellow' 'what'],['eye'],['madam' 'hooch' 'have' 'distinct' 'yellow' 'what' 'eye'],['have' 'what'],what,6,1,FR,text
26,34,What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,"['what' 'eavesdrop' 'tool' 'do' 'fred' 'george' 'invent' 'harry' 'potter'
 'order' 'phoenix']",['extendable' 'ear'],"['what' 'eavesdrop' 'tool' 'do' 'fred' 'george' 'invent' 'harry' 'potter'
 'order' 'phoenix' 'extendable' 'ear']",['what' 'do'],what,17,2,FR,text
27,35,What does 'Meteolojinx Recanto' do?,Dispel weather charms,['what' 'do' 'meteolojinx' 'recanto'],['dispel' 'weather' 'charm'],['what' 'do' 'meteolojinx' 'recanto' 'dispel' 'weather' 'charm'],['what' 'do'],what,5,3,FR,text
28,37,What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,['what' 'do' 'vermillious' 'spell' 'make' 'appear' 'tip' 'one' 'wand'],['red' 'spark'],"['what' 'do' 'vermillious' 'spell' 'make' 'appear' 'tip' 'one' 'wand'
 'red' 'spark']",['what' 'do'],what,14,2,FR,text
29,38,What is the name of the house-elf that belongs to the Malfoy family?,Dobby,['what' 'be' 'name' 'house' 'elf' 'belong' 'malfoy' 'family'],['dobby'],['what' 'be' 'name' 'house' 'elf' 'belong' 'malfoy' 'family' 'dobby'],['what' 'be' 'name'],what,14,1,FR,text
30,40,How is Quodpot different from Quidditch?,The ball explodes,['how' 'be' 'quodpot' 'different' 'quidditch'],['ball' 'explodes'],['how' 'be' 'quodpot' 'different' 'quidditch' 'ball' 'explodes'],['how' 'be'],how,6,3,EX,text
31,42,Where is Hogwarts located?,Scotland,['where' 'be' 'hogwarts' 'locate'],['scotland'],['where' 'be' 'hogwarts' 'locate' 'scotland'],['where' 'be'],where,4,1,FR,text
32,43,Catching what object ends a Quidditch match?,Golden Snitch,['catch' 'what' 'object' 'end' 'quidditch' 'match'],['golden' 'snitch'],['catch' 'what' 'object' 'end' 'quidditch' 'match' 'golden' 'snitch'],['what'],what,7,2,FR,text
33,44,What is the Chudley Cannons' team colour?,Orange,['what' 'be' 'chudley' 'cannon' 'team' 'colour'],['orange'],['what' 'be' 'chudley' 'cannon' 'team' 'colour' 'orange'],['what' 'be'],what,7,1,FR,text
34,47,How often does a Streeler's shell change colour?,Every Hour,['how' 'often' 'do' 'streeler' 'shell' 'change' 'colour'],['every' 'hour'],['how' 'often' 'do' 'streeler' 'shell' 'change' 'colour' 'every' 'hour'],['how' 'do'],how,9,2,EX,text
35,49,Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,['who' 'be' 'hogwarts' 'student' 'curse' 'get' 'rid' 'acne'],['eloise' 'midgen'],"['who' 'be' 'hogwarts' 'student' 'curse' 'get' 'rid' 'acne' 'eloise'
 'midgen']",['who' 'be'],who,14,2,FR,text
36,50,Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,['who' 'famously' 'craft' 'wand' 'core' 'jackalope' 'antler'],['isolt' 'sayre'],"['who' 'famously' 'craft' 'wand' 'core' 'jackalope' 'antler' 'isolt'
 'sayre']",['who'],who,8,2,FR,text
37,51,Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,['which' 'centaur' 'rescue' 'harry' 'forbidden' 'forest' 'book'],['firenze'],['which' 'centaur' 'rescue' 'harry' 'forbidden' 'forest' 'book' 'firenze'],['which'],which,11,1,FR,text
38,53,"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"['book' 'which' 'old' 'friend' 'do' 'harry' 'ron' 'hermione' 'run' 'st'
 'mungo' 'hospital' 'magical' 'malady' 'injury']",['gilderoy' 'lockhart'],"['book' 'which' 'old' 'friend' 'do' 'harry' 'ron' 'hermione' 'run' 'st'
 'mungo' 'hospital' 'magical' 'malady' 'injury' 'gilderoy' 'lockhart']",['which' 'do'],which,23,2,FR,text
39,54,Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,['which' 'creature' 'hair' 'be' 'often' 'weave' 'invisibility' 'cloak'],['demiguise'],"['which' 'creature' 'hair' 'be' 'often' 'weave' 'invisibility' 'cloak'
 'demiguise']",['which' 'be'],which,10,1,FR,text
40,55,What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,['what' 'painting' 'guard' 'entrance' 'gryffindor' 'common' 'room'],['fat' 'lady'],"['what' 'painting' 'guard' 'entrance' 'gryffindor' 'common' 'room' 'fat'
 'lady']",['what'],what,10,3,FR,text
41,57,What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,['what' 'happen' 'quidditch' 'world' 'cup' '1473'],['player' 'commit' 'foul'],['what' 'happen' 'quidditch' 'world' 'cup' '1473' 'player' 'commit' 'foul'],['what'],what,9,5,FR,text
42,58,What's Helga Hufflepuff's signature item?,Cup,['what' 'helga' 'hufflepuff' 'signature' 'item'],['cup'],['what' 'helga' 'hufflepuff' 'signature' 'item' 'cup'],['what'],what,7,1,FR,text
43,59,From which word did the Mirror of Erised get its name?,Desire,['which' 'word' 'do' 'mirror' 'erised' 'get' 'name'],['desire'],['which' 'word' 'do' 'mirror' 'erised' 'get' 'name' 'desire'],['which' 'do' 'name'],which,11,1,FR,text
44,62,Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,['where' 'do' 'dumbledore' 'meet' 'tom' 'riddle' 'first' 'time'],['wool' 'ophanage'],"['where' 'do' 'dumbledore' 'meet' 'tom' 'riddle' 'first' 'time' 'wool'
 'ophanage']",['where' 'do'],where,10,3,FR,text
45,63,What spell duplicates an item?,Geminio,['what' 'spell' 'duplicate' 'item'],['geminio'],['what' 'spell' 'duplicate' 'item' 'geminio'],['what'],what,5,1,FR,text
46,66,What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,"['what' 'fake' 'illness' 'do' 'ron' 'weasley' 'say' 'have' 'cover'
 'absence' 'hogwarts']",['spattergroit'],"['what' 'fake' 'illness' 'do' 'ron' 'weasley' 'say' 'have' 'cover'
 'absence' 'hogwarts' 'spattergroit']",['what' 'do' 'have'],what,16,1,FR,text
47,67,What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,"['what' 'be' 'name' 'dragon' 'harry' 'potter' 'face' 'first' 'task'
 'triwizard' 'tournament']",['hungarian' 'horntail'],"['what' 'be' 'name' 'dragon' 'harry' 'potter' 'face' 'first' 'task'
 'triwizard' 'tournament' 'hungarian' 'horntail']",['what' 'be' 'name'],what,19,2,FR,text
48,68,Professor Snape is the head of which Hogwarts house?,Slytherin,['professor' 'snape' 'be' 'head' 'which' 'hogwarts' 'house'],['slytherin'],['professor' 'snape' 'be' 'head' 'which' 'hogwarts' 'house' 'slytherin'],['be' 'which'],which,9,1,FR,text
49,69,Professor Sprout was the head of what department at Hogwarts?,Herbology,['professor' 'sprout' 'be' 'head' 'what' 'department' 'hogwarts'],['herbology'],"['professor' 'sprout' 'be' 'head' 'what' 'department' 'hogwarts'
 'herbology']",['be' 'what'],what,10,1,FR,text
50,70,What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),['what' 'magical' 'creature' 'be' 'know' 'guard' 'gringott' 'bank'],['ukrainian' 'ironbelly' 'dragon'],"['what' 'magical' 'creature' 'be' 'know' 'guard' 'gringott' 'bank'
 'ukrainian' 'ironbelly' 'dragon']",['what' 'be'],what,10,4,FR,text
51,71,What magical sport is popular in North America?,Quodpot,['what' 'magical' 'sport' 'be' 'popular' 'north' 'america'],['quodpot'],['what' 'magical' 'sport' 'be' 'popular' 'north' 'america' 'quodpot'],['what' 'be'],what,8,1,FR,text
52,72,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,"['ginny' 'weasley' 'buy' 'pet' 'pygmy' 'puff' 'old' 'brother' 'joke'
 'shop' 'what' 'do' 'name']",['arnold'],"['ginny' 'weasley' 'buy' 'pet' 'pygmy' 'puff' 'old' 'brother' 'joke'
 'shop' 'what' 'do' 'name' 'arnold']",['what' 'do' 'name'],what,18,1,FR,text
53,74,I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,['be' 'surprise' 'know' 'what' 'first' 'step' 'fly' 'broom'],['kick'],['be' 'surprise' 'know' 'what' 'first' 'step' 'fly' 'broom' 'kick'],['be' 'what'],what,18,2,FR,text
54,75,What is the incantation for the Memory Charm?,Obliviate,['what' 'be' 'incantation' 'memory' 'charm'],['obliviate'],['what' 'be' 'incantation' 'memory' 'charm' 'obliviate'],['what' 'be'],what,8,1,FR,text
55,76,In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,['which' 'scenario' 'wiould' 'use' 'deflating' 'drought'],['nulling' 'effect' 'swell' 'solution'],"['which' 'scenario' 'wiould' 'use' 'deflating' 'drought' 'nulling'
 'effect' 'swell' 'solution']",['which'],which,9,6,FR,text
56,77,Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.",['who' 'do' 'harry' 'live' 'go' 'hogwarts'],['aunt' 'uncle' 'petunia' 'vernon' 'dursley' 'cousin' 'dudley'],"['who' 'do' 'harry' 'live' 'go' 'hogwarts' 'aunt' 'uncle' 'petunia'
 'vernon' 'dursley' 'cousin' 'dudley']",['who' 'do'],who,9,11,FR,text
57,78,"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,['order' 'phoenix' 'who' 'give' 'fly' 'lesson' 'harry' 'group'],['rolanda' 'hooch'],"['order' 'phoenix' 'who' 'give' 'fly' 'lesson' 'harry' 'group' 'rolanda'
 'hooch']",['who'],who,14,2,FR,text
58,79,What is the name of Ron's brother who works at Gringotts?,Bill Weasley,['what' 'be' 'name' 'ron' 'brother' 'who' 'work' 'gringotts'],['bill' 'weasley'],"['what' 'be' 'name' 'ron' 'brother' 'who' 'work' 'gringotts' 'bill'
 'weasley']",['what' 'be' 'name' 'who'],what,12,2,FR,text
59,81,Phyllomancy is the practice of seeing the future with what?,Leaves,['phyllomancy' 'be' 'practice' 'see' 'future' 'what'],['leaf'],['phyllomancy' 'be' 'practice' 'see' 'future' 'what' 'leaf'],['be' 'what'],what,10,1,FR,text
60,83,What magical bird did Uric have fifty of in his house?,Augureys,['what' 'magical' 'bird' 'do' 'uric' 'have' 'fifty' 'house'],['augureys'],['what' 'magical' 'bird' 'do' 'uric' 'have' 'fifty' 'house' 'augureys'],['what' 'do' 'have'],what,11,1,FR,text
61,85,What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,"['what' 'do' 'mean' 'when' 'magical' 'creature' 'be' 'classify' 'xxx'
 'ministry' 'magic']",['competent' 'wizard' 'should' 'cope'],"['what' 'do' 'mean' 'when' 'magical' 'creature' 'be' 'classify' 'xxx'
 'ministry' 'magic' 'competent' 'wizard' 'should' 'cope']",['what' 'do' 'when' 'be'],what,17,4,FR,text
62,86,What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,"['what' 'be' 'name' 'black' 'family' 'ancestral' 'home' 'harry' 'potter'
 'series']",['grimmauld' 'place'],"['what' 'be' 'name' 'black' 'family' 'ancestral' 'home' 'harry' 'potter'
 'series' 'grimmauld' 'place']",['what' 'be' 'name'],what,16,2,FR,text
63,88,What does the Ear-Shrivelling Curse cause?,Ears to wither,['what' 'do' 'ear' 'shrivel' 'curse' 'cause'],['ear' 'wither'],['what' 'do' 'ear' 'shrivel' 'curse' 'cause' 'wither'],['what' 'do'],what,7,3,FR,text
64,91,When did Harry learn Accio?,Year 4,['when' 'do' 'harry' 'learn' 'accio'],['year'],['when' 'do' 'harry' 'learn' 'accio' 'year'],['when' 'do'],when,5,2,FR,text
65,92,What type of magical creature is Dobby?,House-elf,['what' 'type' 'magical' 'creature' 'be' 'dobby'],['house' 'elf'],['what' 'type' 'magical' 'creature' 'be' 'dobby' 'house' 'elf'],['what' 'be'],what,7,2,FR,text
66,94,"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,['triwizard' 'tournament' 'who' 'escort' 'hermione' 'yule' 'ball'],['viktor' 'krum'],"['triwizard' 'tournament' 'who' 'escort' 'hermione' 'yule' 'ball' 'viktor'
 'krum']",['who'],who,11,2,FR,text
67,96,What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,['what' 'be' 'emblem' 'st' 'mungo' 'hospital' 'magical' 'malady' 'injury'],['wand' 'cross' 'bone'],"['what' 'be' 'emblem' 'st' 'mungo' 'hospital' 'magical' 'malady' 'injury'
 'wand' 'cross' 'bone']",['what' 'be'],what,14,6,FR,text
68,97,Which part of the asphodel plant is used in Draught of Living Death?,Root,['which' 'part' 'asphodel' 'plant' 'be' 'use' 'draught' 'living' 'death'],['root'],"['which' 'part' 'asphodel' 'plant' 'be' 'use' 'draught' 'living' 'death'
 'root']",['which' 'be'],which,13,1,FR,text
69,98,What’s the best solution for a broken nose?,Episkey,['what' 'best' 'solution' 'broken' 'nose'],['episkey'],['what' 'best' 'solution' 'broken' 'nose' 'episkey'],['what'],what,9,1,FR,text
70,99,What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,['what' 'do' 'mimbulus' 'mimbletonia' 'use' 'defence' 'mechanism'],['stinksap'],"['what' 'do' 'mimbulus' 'mimbletonia' 'use' 'defence' 'mechanism'
 'stinksap']",['what' 'do'],what,9,1,FR,text
71,101,A Nimbus is a type of what?,Broom,['nimbus' 'be' 'type' 'what'],['broom'],['nimbus' 'be' 'type' 'what' 'broom'],['be' 'what'],what,7,1,FR,text
72,104,Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,"['why' 'do' 'liechtenstein' 'attend' 'first' 'meeting' 'international'
 'confederation' 'wizard']",['stance' 'troll' 'right'],"['why' 'do' 'liechtenstein' 'attend' 'first' 'meeting' 'international'
 'confederation' 'wizard' 'stance' 'troll' 'right']",['why' 'do'],why,14,5,EX,text
73,106,Where are Kappas most commonly found?,Japan,['where' 'be' 'kappas' 'commonly' 'find'],['japan'],['where' 'be' 'kappas' 'commonly' 'find' 'japan'],['where' 'be'],where,6,1,FR,text
74,107,What is the name of the wizard village near Hogwarts?,Hogsmeade,['what' 'be' 'name' 'wizard' 'village' 'near' 'hogwarts'],['hogsmeade'],['what' 'be' 'name' 'wizard' 'village' 'near' 'hogwarts' 'hogsmeade'],['what' 'be' 'name'],what,10,1,FR,text
75,108,The Deflating Drought is an antidote to which potion?,Swelling Solution,['deflating' 'drought' 'be' 'antidote' 'which' 'potion'],['swell' 'solution'],['deflating' 'drought' 'be' 'antidote' 'which' 'potion' 'swell' 'solution'],['be' 'which'],which,9,2,FR,text
76,109,"What is the primary school attended by Harry Potter's son, Albus Severus Potter?",Hogwarts School of Witchcraft and Wizardry,"['what' 'be' 'primary' 'school' 'attend' 'harry' 'potter' 'son' 'albus'
 'severus']",['hogwarts' 'school' 'witchcraft' 'wizardry'],"['what' 'be' 'primary' 'school' 'attend' 'harry' 'potter' 'son' 'albus'
 'severus' 'hogwarts' 'witchcraft' 'wizardry']",['what' 'be'],what,14,6,FR,text
77,110,The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award,['medieval' 'assembly' 'european' 'wizard' 'give' 'which' 'award'],['bravery' 'fantastic' 'beast' 'award'],"['medieval' 'assembly' 'european' 'wizard' 'give' 'which' 'award'
 'bravery' 'fantastic' 'beast']",['which'],which,10,5,FR,text
78,111,A Firebolt is a type of what?,Broom,['firebolt' 'be' 'type' 'what'],['broom'],['firebolt' 'be' 'type' 'what' 'broom'],['be' 'what'],what,7,1,FR,text
79,112,Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,['who' 'be' 'gamekeeper' 'hogwarts'],['rubeus' 'hagrid'],['who' 'be' 'gamekeeper' 'hogwarts' 'rubeus' 'hagrid'],['who' 'be'],who,6,2,FR,text
80,118,"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin,"['what' 'be' 'name' 'werewolf' 'who' 'teach' 'defense' 'dark' 'art'
 'harry' 'potter' 'prisoner' 'azkaban']",['remus' 'lupin'],"['what' 'be' 'name' 'werewolf' 'who' 'teach' 'defense' 'dark' 'art'
 'harry' 'potter' 'prisoner' 'azkaban' 'remus' 'lupin']",['what' 'be' 'name' 'who'],what,22,2,FR,text
81,119,What does the term 'Muggle' refer to in Harry Potter?,A non-magical person,['what' 'do' 'term' 'muggle' 'refer' 'harry' 'potter'],['non' 'magical' 'person'],"['what' 'do' 'term' 'muggle' 'refer' 'harry' 'potter' 'non' 'magical'
 'person']",['what' 'do'],what,10,4,FR,text
82,120,What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,['what' 'type' 'transfiguration' 'turn' 'goldfinch' 'golden' 'snitch'],['transformation'],"['what' 'type' 'transfiguration' 'turn' 'goldfinch' 'golden' 'snitch'
 'transformation']",['what'],what,11,1,FR,text
83,122,What's the tallest tower at Hogwarts?,The Astronomy Tower.,['what' 'tall' 'tower' 'hogwarts'],['astronomy' 'tower'],['what' 'tall' 'tower' 'hogwarts' 'astronomy'],['what'],what,7,3,FR,text
84,124,Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist,['which' 'mischievous' 'character' 'book' 'do' 'feature' 'movie'],['peeve' 'poltergeist'],"['which' 'mischievous' 'character' 'book' 'do' 'feature' 'movie' 'peeve'
 'poltergeist']",['which' 'do'],which,12,3,FR,text
85,125,Which house does Harry Potter belong to?,Gryffindor,['which' 'house' 'do' 'harry' 'potter' 'belong'],['gryffindor'],['which' 'house' 'do' 'harry' 'potter' 'belong' 'gryffindor'],['which' 'do'],which,7,1,FR,text
86,127,What is the opposite of conjuration?,Vanishment,['what' 'be' 'opposite' 'conjuration'],['vanishment'],['what' 'be' 'opposite' 'conjuration' 'vanishment'],['what' 'be'],what,6,1,FR,text
87,128,"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris.",['book' 'who' 'be' 'first' 'victim' 'petrify' 'basilisk'],['filch' 'cat' 'mr' 'norris'],"['book' 'who' 'be' 'first' 'victim' 'petrify' 'basilisk' 'filch' 'cat'
 'mr' 'norris']",['who' 'be'],who,14,5,FR,text
88,129,Who was the Minister of Magic during the First World War?,Archie Evermonde,['who' 'be' 'minister' 'magic' 'first' 'world' 'war'],['archie' 'evermonde'],['who' 'be' 'minister' 'magic' 'first' 'world' 'war' 'archie' 'evermonde'],['who' 'be'],who,11,2,FR,text
89,130,Who is the author of 'Fantastic Beasts and Where to Find Them'?,Newt Scamander,['who' 'be' 'author' 'fantastic' 'beast' 'where' 'find'],['newt' 'scamander'],['who' 'be' 'author' 'fantastic' 'beast' 'where' 'find' 'newt' 'scamander'],['who' 'be' 'where'],who,12,2,FR,text
90,131,Which charm freezes the target in place?,Immobulus,['which' 'charm' 'freeze' 'target' 'place'],['immobulus'],['which' 'charm' 'freeze' 'target' 'place' 'immobulus'],['which'],which,7,1,FR,text
91,132,Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart,['who' 'teach' 'defense' 'dark' 'art' 'harry' 'second' 'year' 'hogwarts'],['gilderoy' 'lockhart'],"['who' 'teach' 'defense' 'dark' 'art' 'harry' 'second' 'year' 'hogwarts'
 'gilderoy' 'lockhart']",['who'],who,14,2,FR,text
92,133,Who discovered the law of elemental transfiguration?,Gamp,['who' 'discover' 'law' 'elemental' 'transfiguration'],['gamp'],['who' 'discover' 'law' 'elemental' 'transfiguration' 'gamp'],['who'],who,7,1,FR,text
93,134,Who played Professor Dumbledore in the first movie?,Richard Harris,['who' 'play' 'professor' 'dumbledore' 'first' 'movie'],['richard' 'harris'],['who' 'play' 'professor' 'dumbledore' 'first' 'movie' 'richard' 'harris'],['who'],who,8,2,FR,text
