original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keyword,is_duplicate,question_type,is_numeric_answer,question_length,answer_length
14,What is the root language of any spells?,Latin,"['what', 'be', 'root', 'language', 'spell']",['latin'],"['what', 'be', 'root', 'language', 'spell', 'latin']",['what'],False,FR,False,8,1
16,Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['cedric', 'diggory', 'let', 'harry', 'use', 'prefect', 'bathroom', 'goblet', 'fire', 'what', 'man', 'statue', 'be', 'next', 'special', 'lavatory', 'entrance']","['boris', 'bewilder']","['cedric', 'diggory', 'let', 'harry', 'use', 'prefect', 'bathroom', 'goblet', 'fire', 'what', 'man', 'statue', 'be', 'next', 'special', 'lavatory', 'entrance', 'boris', 'bewilder']",['what'],False,FR,False,25,3
17,"Who is known as the ""Chosen One""?",Harry Potter,"['who', 'be', 'know', 'chosen', 'one']","['harry', 'potter']","['who', 'be', 'know', 'chosen', 'one', 'harry', 'potter']",['who'],False,FR,False,7,2
18,Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,"['who', 'destroy', 'horcrux', 'helga', 'hufflepuffs', 'cup']","['hermione', 'granger']","['who', 'destroy', 'horcrux', 'helga', 'hufflepuffs', 'cup', 'hermione', 'granger']",['who'],False,FR,False,9,2
19,What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,"['what', 'be', 'filch', 'hogwarts', 'caretaker', 'greatest', 'secret']","['he', 'squib']","['what', 'be', 'filch', 'hogwarts', 'caretaker', 'greatest', 'secret', 'he', 'squib']",['what'],False,FR,False,9,4
20,What is the name of America's magical government?,MACUSA,"['what', 'be', 'name', 'americas', 'magical', 'government']",['macusa'],"['what', 'be', 'name', 'americas', 'magical', 'government', 'macusa']","['what', 'name']",False,FR,False,9,1
22,What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,"['what', 'potion', 'allow', 'witch', 'wizard', 'disguise', 'someone', 'else', 'limited', 'amount', 'time']","['polyjuice', 'potion']","['what', 'potion', 'allow', 'witch', 'wizard', 'disguise', 'someone', 'else', 'limited', 'amount', 'time', 'polyjuice']",['what'],False,FR,False,19,2
23,What kind of core did Harry's first want possess?,Phoenix Feather,"['what', 'kind', 'core', 'do', 'harrys', 'first', 'want', 'possess']","['phoenix', 'feather']","['what', 'kind', 'core', 'do', 'harrys', 'first', 'want', 'possess', 'phoenix', 'feather']","['what', 'do']",False,FR,False,10,2
24,What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,"['what', 'do', 'boggart', 'reveal', 'seamus', 'finnigans', 'worst', 'fear']",['banshee'],"['what', 'do', 'boggart', 'reveal', 'seamus', 'finnigans', 'worst', 'fear', 'banshee']","['what', 'do']",False,FR,False,12,1
25,What is Ron's middle name?,Bilius,"['what', 'be', 'ron', 'middle', 'name']",['bilius'],"['what', 'be', 'ron', 'middle', 'name', 'bilius']","['what', 'name']",False,FR,False,6,1
26,Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,"['which', 'dragon', 'do', 'cedric', 'diggory', 'face', 'first', 'task', 'triwizard', 'tournament']","['swedish', 'shortsnout']","['which', 'dragon', 'do', 'cedric', 'diggory', 'face', 'first', 'task', 'triwizard', 'tournament', 'swedish', 'shortsnout']","['which', 'do']",False,FR,False,14,3
27,Where are flying lessons held?,Training Grounds,"['where', 'be', 'fly', 'lesson', 'hold']","['train', 'ground']","['where', 'be', 'fly', 'lesson', 'hold', 'train', 'ground']",['where'],False,FR,False,5,2
28,"""Lemon Drop"" is the password to whose office?",Dumbledore,"['lemon', 'drop', 'be', 'password', 'whose', 'office']",['dumbledore'],"['lemon', 'drop', 'be', 'password', 'whose', 'office', 'dumbledore']",['whose'],False,FR,False,8,1
29,A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,"['statue', 'what', 'creature', 'mark', 'entrance', 'headmaster', 'office']",['gargoyle'],"['statue', 'what', 'creature', 'mark', 'entrance', 'headmaster', 'office', 'gargoyle']",['what'],False,FR,False,13,1
31,Who founded Hogsmeade Village?,Hengist of Woodcroft,"['who', 'found', 'hogsmeade', 'village']","['hengist', 'woodcroft']","['who', 'found', 'hogsmeade', 'village', 'hengist', 'woodcroft']",['who'],False,FR,False,4,3
32,Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,"['who', 'be', 'first', 'quidditch', 'referee', 'die', 'match']","['cyprian', 'youdle']","['who', 'be', 'first', 'quidditch', 'referee', 'die', 'match', 'cyprian', 'youdle']",['who'],False,FR,False,12,2
33,Madam Hooch has distinct yellow what?,Eyes,"['madam', 'hooch', 'have', 'distinct', 'yellow', 'what']",['eye'],"['madam', 'hooch', 'have', 'distinct', 'yellow', 'what', 'eye']","['what', 'have']",False,FR,False,6,1
34,What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,"['what', 'eavesdrop', 'tool', 'do', 'fred', 'george', 'invent', 'harry', 'potter', 'order', 'phoenix']","['extendable', 'ear']","['what', 'eavesdrop', 'tool', 'do', 'fred', 'george', 'invent', 'harry', 'potter', 'order', 'phoenix', 'extendable', 'ear']","['what', 'do']",False,FR,False,17,2
35,What does 'Meteolojinx Recanto' do?,Dispel weather charms,"['what', 'do', 'meteolojinx', 'recanto']","['dispel', 'weather', 'charm']","['what', 'do', 'meteolojinx', 'recanto', 'dispel', 'weather', 'charm']","['what', 'do']",False,FR,False,5,3
37,What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,"['what', 'do', 'vermillious', 'spell', 'make', 'appear', 'tip', 'one', 'wand']","['red', 'spark']","['what', 'do', 'vermillious', 'spell', 'make', 'appear', 'tip', 'one', 'wand', 'red', 'spark']","['what', 'do']",False,FR,False,14,2
38,What is the name of the house-elf that belongs to the Malfoy family?,Dobby,"['what', 'be', 'name', 'houseelf', 'belongs', 'malfoy', 'family']",['dobby'],"['what', 'be', 'name', 'houseelf', 'belongs', 'malfoy', 'family', 'dobby']","['what', 'name']",False,FR,False,14,1
39,What does 'Colloportus' do?,Lock and seal doors,"['what', 'do', 'colloportus']","['lock', 'seal', 'door']","['what', 'do', 'colloportus', 'lock', 'seal', 'door']","['what', 'do']",True,FR,False,4,4
40,How is Quodpot different from Quidditch?,The ball explodes,"['how', 'be', 'quodpot', 'different', 'quidditch']","['ball', 'explodes']","['how', 'be', 'quodpot', 'different', 'quidditch', 'ball', 'explodes']",['how'],False,EX,False,6,3
42,Where is Hogwarts located?,Scotland,"['where', 'be', 'hogwarts', 'locate']",['scotland'],"['where', 'be', 'hogwarts', 'locate', 'scotland']",['where'],False,FR,False,4,1
43,Catching what object ends a Quidditch match?,Golden Snitch,"['catch', 'what', 'object', 'end', 'quidditch', 'match']","['golden', 'snitch']","['catch', 'what', 'object', 'end', 'quidditch', 'match', 'golden', 'snitch']",['what'],False,FR,False,7,2
44,What is the Chudley Cannons' team colour?,Orange,"['what', 'be', 'chudley', 'cannon', 'team', 'colour']",['orange'],"['what', 'be', 'chudley', 'cannon', 'team', 'colour', 'orange']",['what'],False,FR,False,7,1
45,Who previously held Snape's post?,Horace Slughorn,"['who', 'previously', 'hold', 'snapes', 'post']","['horace', 'slughorn']","['who', 'previously', 'hold', 'snapes', 'post', 'horace', 'slughorn']",['who'],True,FR,False,6,2
47,How often does a Streeler's shell change colour?,Every Hour,"['how', 'often', 'do', 'streelers', 'shell', 'change', 'colour']","['every', 'hour']","['how', 'often', 'do', 'streelers', 'shell', 'change', 'colour', 'every', 'hour']","['how', 'do']",False,FR,False,9,2
49,Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,"['who', 'be', 'hogwarts', 'student', 'curse', 'get', 'rid', 'acne']","['eloise', 'midgen']","['who', 'be', 'hogwarts', 'student', 'curse', 'get', 'rid', 'acne', 'eloise', 'midgen']",['who'],False,FR,False,14,2
50,Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,"['who', 'famously', 'craft', 'wand', 'core', 'jackalope', 'antler']","['isolt', 'sayre']","['who', 'famously', 'craft', 'wand', 'core', 'jackalope', 'antler', 'isolt', 'sayre']",['who'],False,FR,False,8,2
51,Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,"['which', 'centaur', 'rescue', 'harry', 'forbidden', 'forest', 'book']",['firenze'],"['which', 'centaur', 'rescue', 'harry', 'forbidden', 'forest', 'book', 'firenze']",['which'],False,FR,False,11,1
52,What is the core of Draco Malfoy's wand?,Unicorn hair,"['what', 'be', 'core', 'draco', 'malfoys', 'wand']","['unicorn', 'hair']","['what', 'be', 'core', 'draco', 'malfoys', 'wand', 'unicorn', 'hair']",['what'],True,FR,False,9,2
53,"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"['book', 'which', 'old', 'friend', 'do', 'harry', 'ron', 'hermione', 'run', 'st', 'mungos', 'hospital', 'magical', 'malady', 'injury']","['gilderoy', 'lockhart']","['book', 'which', 'old', 'friend', 'do', 'harry', 'ron', 'hermione', 'run', 'st', 'mungos', 'hospital', 'magical', 'malady', 'injury', 'gilderoy', 'lockhart']","['which', 'do']",False,FR,False,23,2
54,Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,"['which', 'creatures', 'hair', 'be', 'often', 'woven', 'invisibility', 'cloak']",['demiguise'],"['which', 'creatures', 'hair', 'be', 'often', 'woven', 'invisibility', 'cloak', 'demiguise']",['which'],False,FR,False,10,1
55,What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,"['what', 'painting', 'guard', 'entrance', 'gryffindor', 'common', 'room']","['fat', 'lady']","['what', 'painting', 'guard', 'entrance', 'gryffindor', 'common', 'room', 'fat', 'lady']",['what'],False,FR,False,10,3
57,What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,"['what', 'happen', 'quidditch', 'world', 'cup']","['player', 'commit', 'foul']","['what', 'happen', 'quidditch', 'world', 'cup', 'player', 'commit', 'foul']",['what'],False,FR,False,9,5
58,What's Helga Hufflepuff's signature item?,Cup,"['whats', 'helga', 'hufflepuffs', 'signature', 'item']",['cup'],"['whats', 'helga', 'hufflepuffs', 'signature', 'item', 'cup']",['whats'],False,FR,False,7,1
59,From which word did the Mirror of Erised get its name?,Desire,"['which', 'word', 'do', 'mirror', 'erised', 'get', 'name']",['desire'],"['which', 'word', 'do', 'mirror', 'erised', 'get', 'name', 'desire']","['name', 'which', 'do']",False,FR,False,11,1
62,Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,"['where', 'do', 'dumbledore', 'meet', 'tom', 'riddle', 'first', 'time']","['wool', 'ophanage']","['where', 'do', 'dumbledore', 'meet', 'tom', 'riddle', 'first', 'time', 'wool', 'ophanage']","['where', 'do']",False,FR,False,10,3
63,What spell duplicates an item?,Geminio,"['what', 'spell', 'duplicate', 'item']",['geminio'],"['what', 'spell', 'duplicate', 'item', 'geminio']",['what'],False,FR,False,5,1
66,What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,"['what', 'fake', 'illness', 'do', 'ron', 'weasley', 'say', 'have', 'cover', 'absence', 'hogwarts']",['spattergroit'],"['what', 'fake', 'illness', 'do', 'ron', 'weasley', 'say', 'have', 'cover', 'absence', 'hogwarts', 'spattergroit']","['what', 'do', 'have']",False,FR,False,16,1
67,What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,"['what', 'be', 'name', 'dragon', 'harry', 'potter', 'face', 'first', 'task', 'triwizard', 'tournament']","['hungarian', 'horntail']","['what', 'be', 'name', 'dragon', 'harry', 'potter', 'face', 'first', 'task', 'triwizard', 'tournament', 'hungarian', 'horntail']","['what', 'name']",False,FR,False,19,2
68,Professor Snape is the head of which Hogwarts house?,Slytherin,"['professor', 'snape', 'be', 'head', 'which', 'hogwarts', 'house']",['slytherin'],"['professor', 'snape', 'be', 'head', 'which', 'hogwarts', 'house', 'slytherin']",['which'],False,FR,False,9,1
69,Professor Sprout was the head of what department at Hogwarts?,Herbology,"['professor', 'sprout', 'be', 'head', 'what', 'department', 'hogwarts']",['herbology'],"['professor', 'sprout', 'be', 'head', 'what', 'department', 'hogwarts', 'herbology']",['what'],False,FR,False,10,1
70,What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),"['what', 'magical', 'creature', 'be', 'know', 'guard', 'gringotts', 'bank']","['ukrainian', 'ironbelly', 'dragon']","['what', 'magical', 'creature', 'be', 'know', 'guard', 'gringotts', 'bank', 'ukrainian', 'ironbelly', 'dragon']",['what'],False,FR,False,10,4
71,What magical sport is popular in North America?,Quodpot,"['what', 'magical', 'sport', 'be', 'popular', 'north', 'america']",['quodpot'],"['what', 'magical', 'sport', 'be', 'popular', 'north', 'america', 'quodpot']",['what'],False,FR,False,8,1
72,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,"['ginny', 'weasley', 'buy', 'pet', 'pygmy', 'puff', 'old', 'brother', 'joke', 'shop', 'what', 'do', 'name']",['arnold'],"['ginny', 'weasley', 'buy', 'pet', 'pygmy', 'puff', 'old', 'brother', 'joke', 'shop', 'what', 'do', 'name', 'arnold']","['what', 'name', 'do']",False,FR,False,18,1
73,"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,"['dumbledore', 'who', 'be', 'headmaster', 'hogwarts']","['armando', 'dippet']","['dumbledore', 'who', 'be', 'headmaster', 'hogwarts', 'armando', 'dippet']",['who'],True,FR,False,7,2
74,I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,"['id', 'surprise', 'knew', 'whats', 'first', 'step', 'fly', 'broom']",['kick'],"['id', 'surprise', 'knew', 'whats', 'first', 'step', 'fly', 'broom', 'kick']",['whats'],False,FR,False,18,2
75,What is the incantation for the Memory Charm?,Obliviate,"['what', 'be', 'incantation', 'memory', 'charm']",['obliviate'],"['what', 'be', 'incantation', 'memory', 'charm', 'obliviate']",['what'],False,FR,False,8,1
76,In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,"['which', 'scenario', 'wiould', 'use', 'deflate', 'drought']","['nulling', 'effect', 'swell', 'solution']","['which', 'scenario', 'wiould', 'use', 'deflate', 'drought', 'nulling', 'effect', 'swell', 'solution']",['which'],False,FR,False,9,6
77,Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.","['who', 'do', 'harry', 'live', 'go', 'hogwarts']","['aunt', 'uncle', 'petunia', 'vernon', 'dursley', 'cousin', 'dudley']","['who', 'do', 'harry', 'live', 'go', 'hogwarts', 'aunt', 'uncle', 'petunia', 'vernon', 'dursley', 'cousin', 'dudley']","['who', 'do']",False,FR,False,9,11
78,"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,"['order', 'phoenix', 'who', 'give', 'fly', 'lesson', 'harrys', 'group']","['rolanda', 'hooch']","['order', 'phoenix', 'who', 'give', 'fly', 'lesson', 'harrys', 'group', 'rolanda', 'hooch']",['who'],False,FR,False,14,2
79,What is the name of Ron's brother who works at Gringotts?,Bill Weasley,"['what', 'be', 'name', 'ron', 'brother', 'who', 'work', 'gringotts']","['bill', 'weasley']","['what', 'be', 'name', 'ron', 'brother', 'who', 'work', 'gringotts', 'bill', 'weasley']","['what', 'name', 'who']",False,FR,False,12,2
81,Phyllomancy is the practice of seeing the future with what?,Leaves,"['phyllomancy', 'be', 'practice', 'see', 'future', 'what']",['leaf'],"['phyllomancy', 'be', 'practice', 'see', 'future', 'what', 'leaf']",['what'],False,FR,False,10,1
82,Who created the Sorcerer's Stone?,Nicolas Flamel,"['who', 'create', 'sorcerer', 'stone']","['nicolas', 'flamel']","['who', 'create', 'sorcerer', 'stone', 'nicolas', 'flamel']",['who'],True,FR,False,6,2
83,What magical bird did Uric have fifty of in his house?,Augureys,"['what', 'magical', 'bird', 'do', 'uric', 'have', 'fifty', 'house']",['augureys'],"['what', 'magical', 'bird', 'do', 'uric', 'have', 'fifty', 'house', 'augureys']","['what', 'do', 'have']",False,FR,False,11,1
85,What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,"['what', 'do', 'mean', 'when', 'magical', 'creature', 'be', 'classify', 'xxx', 'ministry', 'magic']","['competent', 'wizard', 'should', 'cope']","['what', 'do', 'mean', 'when', 'magical', 'creature', 'be', 'classify', 'xxx', 'ministry', 'magic', 'competent', 'wizard', 'should', 'cope']","['what', 'when', 'do']",False,FR,False,17,4
86,What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,"['what', 'be', 'name', 'black', 'family', 'ancestral', 'home', 'harry', 'potter', 'series']","['grimmauld', 'place']","['what', 'be', 'name', 'black', 'family', 'ancestral', 'home', 'harry', 'potter', 'series', 'grimmauld', 'place']","['what', 'name']",False,FR,False,16,2
88,What does the Ear-Shrivelling Curse cause?,Ears to wither,"['what', 'do', 'earshrivelling', 'curse', 'cause']","['ear', 'wither']","['what', 'do', 'earshrivelling', 'curse', 'cause', 'ear', 'wither']","['what', 'do']",False,FR,False,7,3
91,When did Harry learn Accio?,Year 4,"['when', 'do', 'harry', 'learn', 'accio']",['year'],"['when', 'do', 'harry', 'learn', 'accio', 'year']","['when', 'do']",False,FR,False,5,2
92,What type of magical creature is Dobby?,House-elf,"['what', 'type', 'magical', 'creature', 'be', 'dobby']",['houseelf'],"['what', 'type', 'magical', 'creature', 'be', 'dobby', 'houseelf']",['what'],False,FR,False,7,2
94,"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,"['triwizard', 'tournament', 'who', 'escort', 'hermione', 'yule', 'ball']","['viktor', 'krum']","['triwizard', 'tournament', 'who', 'escort', 'hermione', 'yule', 'ball', 'viktor', 'krum']",['who'],False,FR,False,11,2
96,What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,"['what', 'be', 'emblem', 'st', 'mungos', 'hospital', 'magical', 'malady', 'injury']","['wand', 'cross', 'bone']","['what', 'be', 'emblem', 'st', 'mungos', 'hospital', 'magical', 'malady', 'injury', 'wand', 'cross', 'bone']",['what'],False,FR,False,14,6
97,Which part of the asphodel plant is used in Draught of Living Death?,Root,"['which', 'part', 'asphodel', 'plant', 'be', 'use', 'draught', 'living', 'death']",['root'],"['which', 'part', 'asphodel', 'plant', 'be', 'use', 'draught', 'living', 'death', 'root']",['which'],False,FR,False,13,1
98,What’s the best solution for a broken nose?,Episkey,"['whats', 'best', 'solution', 'broken', 'nose']",['episkey'],"['whats', 'best', 'solution', 'broken', 'nose', 'episkey']",['whats'],False,FR,False,9,1
99,What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,"['what', 'do', 'mimbulus', 'mimbletonia', 'use', 'defence', 'mechanism']",['stinksap'],"['what', 'do', 'mimbulus', 'mimbletonia', 'use', 'defence', 'mechanism', 'stinksap']","['what', 'do']",False,FR,False,9,1
101,A Nimbus is a type of what?,Broom,"['nimbus', 'be', 'type', 'what']",['broom'],"['nimbus', 'be', 'type', 'what', 'broom']",['what'],False,FR,False,7,1
102,What Quidditch players fend off the Bludgers?,The Beaters,"['what', 'quidditch', 'player', 'fend', 'bludgers']",['beater'],"['what', 'quidditch', 'player', 'fend', 'bludgers', 'beater']",['what'],True,FR,False,7,2
104,Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,"['why', 'do', 'liechtenstein', 'attend', 'first', 'meeting', 'international', 'confederation', 'wizard']","['stance', 'troll', 'right']","['why', 'do', 'liechtenstein', 'attend', 'first', 'meeting', 'international', 'confederation', 'wizard', 'stance', 'troll', 'right']","['why', 'do']",False,EX,False,14,5
106,Where are Kappas most commonly found?,Japan,"['where', 'be', 'kappas', 'commonly', 'find']",['japan'],"['where', 'be', 'kappas', 'commonly', 'find', 'japan']",['where'],False,FR,False,6,1
107,What is the name of the wizard village near Hogwarts?,Hogsmeade,"['what', 'be', 'name', 'wizard', 'village', 'near', 'hogwarts']",['hogsmeade'],"['what', 'be', 'name', 'wizard', 'village', 'near', 'hogwarts', 'hogsmeade']","['what', 'name']",False,FR,False,10,1
108,The Deflating Drought is an antidote to which potion?,Swelling Solution,"['deflate', 'drought', 'be', 'antidote', 'which', 'potion']","['swell', 'solution']","['deflate', 'drought', 'be', 'antidote', 'which', 'potion', 'swell', 'solution']",['which'],False,FR,False,9,2
109,"What is the primary school attended by Harry Potter's son, Albus Severus Potter?",Hogwarts School of Witchcraft and Wizardry,"['what', 'be', 'primary', 'school', 'attend', 'harry', 'potter', 'son', 'albus', 'severus']","['hogwarts', 'school', 'witchcraft', 'wizardry']","['what', 'be', 'primary', 'school', 'attend', 'harry', 'potter', 'son', 'albus', 'severus', 'hogwarts', 'witchcraft', 'wizardry']",['what'],False,FR,False,14,6
110,The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award,"['medieval', 'assembly', 'european', 'wizard', 'give', 'which', 'award']","['bravery', 'fantastic', 'beast', 'award']","['medieval', 'assembly', 'european', 'wizard', 'give', 'which', 'award', 'bravery', 'fantastic', 'beast']",['which'],False,FR,False,10,5
111,A Firebolt is a type of what?,Broom,"['firebolt', 'be', 'type', 'what']",['broom'],"['firebolt', 'be', 'type', 'what', 'broom']",['what'],False,FR,False,7,1
112,Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,"['who', 'be', 'gamekeeper', 'hogwarts']","['rubeus', 'hagrid']","['who', 'be', 'gamekeeper', 'hogwarts', 'rubeus', 'hagrid']",['who'],False,FR,False,6,2
113,What is the Name of America’s Magical Government?,MACUSA,"['what', 'be', 'name', 'americas', 'magical', 'government']",['macusa'],"['what', 'be', 'name', 'americas', 'magical', 'government', 'macusa']","['what', 'name']",True,FR,False,9,1
118,"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin,"['what', 'be', 'name', 'werewolf', 'who', 'teach', 'defense', 'dark', 'art', 'harry', 'potter', 'prisoner', 'azkaban']","['remus', 'lupin']","['what', 'be', 'name', 'werewolf', 'who', 'teach', 'defense', 'dark', 'art', 'harry', 'potter', 'prisoner', 'azkaban', 'remus', 'lupin']","['what', 'name', 'who']",False,FR,False,22,2
119,What does the term 'Muggle' refer to in Harry Potter?,A non-magical person,"['what', 'do', 'term', 'muggle', 'refer', 'harry', 'potter']","['nonmagical', 'person']","['what', 'do', 'term', 'muggle', 'refer', 'harry', 'potter', 'nonmagical', 'person']","['what', 'do']",False,FR,False,10,4
120,What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,"['what', 'type', 'transfiguration', 'turn', 'goldfinch', 'golden', 'snitch']",['transformation'],"['what', 'type', 'transfiguration', 'turn', 'goldfinch', 'golden', 'snitch', 'transformation']",['what'],False,FR,False,11,1
122,What's the tallest tower at Hogwarts?,The Astronomy Tower.,"['whats', 'tallest', 'tower', 'hogwarts']","['astronomy', 'tower']","['whats', 'tallest', 'tower', 'hogwarts', 'astronomy']",['whats'],False,FR,False,7,3
123,What is the name of the Wizard village near Hogwarts?,Hogsmeade,"['what', 'be', 'name', 'wizard', 'village', 'near', 'hogwarts']",['hogsmeade'],"['what', 'be', 'name', 'wizard', 'village', 'near', 'hogwarts', 'hogsmeade']","['what', 'name']",True,FR,False,10,1
124,Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist,"['which', 'mischievous', 'character', 'book', 'do', 'feature', 'movie']","['peeve', 'poltergeist']","['which', 'mischievous', 'character', 'book', 'do', 'feature', 'movie', 'peeve', 'poltergeist']","['which', 'do']",False,FR,False,12,3
125,Which house does Harry Potter belong to?,Gryffindor,"['which', 'house', 'do', 'harry', 'potter', 'belong']",['gryffindor'],"['which', 'house', 'do', 'harry', 'potter', 'belong', 'gryffindor']","['which', 'do']",False,FR,False,7,1
127,What is the opposite of conjuration?,Vanishment,"['what', 'be', 'opposite', 'conjuration']",['vanishment'],"['what', 'be', 'opposite', 'conjuration', 'vanishment']",['what'],False,FR,False,6,1
128,"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris.","['book', 'who', 'be', 'first', 'victim', 'petrify', 'basilisk']","['filchs', 'cat', 'mr', 'norris']","['book', 'who', 'be', 'first', 'victim', 'petrify', 'basilisk', 'filchs', 'cat', 'mr', 'norris']",['who'],False,FR,False,14,5
