,original_question_id,question,answer,is_duplicate,question_type,is_numeric_answer,STATUS
47,51,Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,FALSE,FR,FALSE,keep
48,52,What is the core of Draco Malfoy's wand?,Unicorn hair,TRUE,FR,FALSE,keep
49,53,"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,FALSE,FR,FALSE,keep
50,54,Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,FALSE,FR,FALSE,keep
51,55,What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,FALSE,FR,FALSE,keep
52,57,What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,FALSE,FR,FALSE,keep
53,58,What's Helga Hufflepuff's signature item?,Cup,FALSE,FR,FALSE,keep
54,59,From which word did the Mirror of Erised get its name?,Desire,FALSE,FR,FALSE,keep
55,60,"According to Hermione Granger, where should the emphasis be placed when pronouncing the Levitation Charm, Wingardium Leviosa: On the 'gar' in Wingardium, On the 'o' in Leviosa, On the 'sa' in Leviosa, or On both words equally?
",On the 'o' in Leviosa,FALSE,FR,FALSE,edit
56,61,In which country does Charlie Weasley work at a famous dragon reserve?,Romania,FALSE,FR,FALSE,edit
57,62,Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,FALSE,FR,FALSE,keep
58,63,What spell duplicates an item?,Geminio,FALSE,FR,FALSE,keep
59,65,Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.,FALSE,FR,FALSE,delete
60,66,What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,FALSE,FR,FALSE,keep
61,67,What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,FALSE,FR,FALSE,keep
62,68,Professor Snape is the head of which Hogwarts house?,Slytherin,FALSE,FR,FALSE,keep
63,69,Professor Sprout was the head of what department at Hogwarts?,Herbology,FALSE,FR,FALSE,keep
64,70,What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),FALSE,FR,FALSE,keep
65,71,What magical sport is popular in North America?,Quodpot,FALSE,FR,FALSE,keep
66,72,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,FALSE,FR,FALSE,keep
67,73,"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,TRUE,FR,FALSE,keep
68,74,I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,FALSE,FR,FALSE,keep
69,75,What is the incantation for the Memory Charm?,Obliviate,FALSE,FR,FALSE,keep
70,76,In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,FALSE,FR,FALSE,keep
71,77,Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.",FALSE,FR,FALSE,keep
72,78,"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,FALSE,FR,FALSE,keep
73,79,What is the name of Ron's brother who works at Gringotts?,Bill Weasley,FALSE,FR,FALSE,keep
74,81,Phyllomancy is the practice of seeing the future with what?,Leaves,FALSE,FR,FALSE,keep
75,82,Who created the Sorcerer's Stone?,Nicolas Flamel,TRUE,FR,FALSE,keep
76,83,What magical bird did Uric have fifty of in his house?,Augureys,FALSE,FR,FALSE,keep
77,84,"At the start of Harry Potter and the Goblet of Fire, which team was in last place in the British and Irish Quidditch League?",Chudley Cannons,FALSE,FR,FALSE,edit
78,85,What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,FALSE,FR,FALSE,keep
79,86,What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,FALSE,FR,FALSE,keep
80,88,What does the Ear-Shrivelling Curse cause?,Ears to wither,FALSE,FR,FALSE,keep
81,90,My voice is best compared to what?,A Vacuum Cleaner,FALSE,FR,FALSE,delete
82,91,When did Harry learn Accio?,Year 4,FALSE,FR,FALSE,keep
83,92,What type of magical creature is Dobby?,House-elf,FALSE,FR,FALSE,keep
84,94,"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,FALSE,FR,FALSE,keep
85,96,What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,FALSE,FR,FALSE,keep
86,97,Which part of the asphodel plant is used in Draught of Living Death?,Root,FALSE,FR,FALSE,keep
87,98,What’s the best solution for a broken nose?,Episkey,FALSE,FR,FALSE,keep
88,99,What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,FALSE,FR,FALSE,keep
89,101,A Nimbus is a type of what?,Broom,FALSE,FR,FALSE,keep
90,102,What Quidditch players fend off the Bludgers?,The Beaters,TRUE,FR,FALSE,keep
91,104,Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,FALSE,EX,FALSE,keep
92,106,Where are Kappas most commonly found?,Japan,FALSE,FR,FALSE,keep
93,107,What is the name of the wizard village near Hogwarts?,Hogsmeade,FALSE,FR,FALSE,keep
94,108,The Deflating Drought is an antidote to which potion?,Swelling Solution,FALSE,FR,FALSE,keep
95,109,"What school does Harry Potter's son, Albus Severus Potter, attend?",Hogwarts School of Witchcraft and Wizardry,FALSE,FR,FALSE,keep
96,110,The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award,FALSE,FR,FALSE,keep
97,111,A Firebolt is a type of what?,Broom,FALSE,FR,FALSE,keep
98,112,Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,FALSE,FR,FALSE,keep
99,113,What is the Name of America’s Magical Government?,MACUSA,TRUE,FR,FALSE,keep
100,114,"At the beginning of Harry Potter and the Prisoner of Azkaban, where is Hedwig waiting for Harry after he flees the Dursleys' house?",In his room at the Leaky Cauldron,FALSE,EX,FALSE,edit
101,115,"In Harry Potter and the Prisoner of Azkaban, how many subjects did Hermione Granger take in her third year?",12,FALSE,FR,TRUE,edit
102,116,What is Voldemort's mother’s full name?,Merope Gaunt,FALSE,FR,FALSE,edit
103,117,Why would you need to switch brooms midair?,Broom failure,FALSE,EX,FALSE,delete
104,118,"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin,FALSE,FR,FALSE,keep
105,119,What does the term 'Muggle' refer to in Harry Potter?,A non-magical person,FALSE,FR,FALSE,keep
106,120,What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,FALSE,FR,FALSE,keep
107,121,Where does Valerian grow best?,In the sun,FALSE,FR,FALSE,delete
108,122,What's the tallest tower at Hogwarts?,The Astronomy Tower.,FALSE,FR,FALSE,keep
109,123,What is the name of the Wizard village near Hogwarts?,Hogsmeade,TRUE,FR,FALSE,keep
110,124,Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist,FALSE,FR,FALSE,keep
111,125,Which house does Harry Potter belong to?,Gryffindor,FALSE,FR,FALSE,keep
112,126,"What is NOT an alternate name for Wolfsbane: Monkshood, Aconite, Belladonna, or Foxglove?",Belladonna,FALSE,MCQ,FALSE,edit
113,127,What is the opposite of conjuration?,Vanishment,FALSE,FR,FALSE,keep
114,128,"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris.",FALSE,FR,FALSE,keep
115,129,Who was the Minister of Magic during the First World War?,Archie Evermonde,FALSE,FR,FALSE,keep
116,130,Who is the author of 'Fantastic Beasts and Where to Find Them'?,Newt Scamander,FALSE,FR,FALSE,keep
117,131,Which charm freezes the target in place?,Immobulus,FALSE,FR,FALSE,keep
118,132,Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart,FALSE,FR,FALSE,keep
119,133,Who discovered the law of elemental transfiguration?,Gamp,FALSE,FR,FALSE,keep
120,134,Who played Professor Dumbledore in the first movie?,Richard Harris,FALSE,FR,FALSE,keep
121,135,"On his first ride aboard the Hogwarts Express, whose card did Harry get with his chocolate frog?",Dumbledore,FALSE,FR,FALSE,keep
122,136,What is the antidote to Swelling Solution?,Deflating Draught,FALSE,FR,FALSE,keep
123,137,"At the start of Harry Potter and the Goblet of Fire, which team was in last place in the British and Irish Quidditch League?",Chudley Cannons,TRUE,FR,FALSE,edit
124,138,What are 'wildcats' referring to?,The Gargoyles on strike.,FALSE,FR,FALSE,delete
125,139,What type of ball attempts to hit players?,Bludger,FALSE,FR,FALSE,keep
126,140,What was the Hippogriff Buckbeak called when he returned to Hogwarts?,Witherwing,FALSE,FR,FALSE,keep
127,141,"In Harry Potter and the Philosopher’s Stone, who was the Rook in the Chessboard Chamber?",Hermione Granger,FALSE,FR,FALSE,edit
128,142,"In the first Fantastic Beast movie, which creatures feed on the human brain and helped Newt Scamander escape?",Swooping Evil,FALSE,FR,FALSE,edit
129,143,What house is Justin Finch-Fletchley in?,Hufflepuff,FALSE,FR,FALSE,keep
130,145,Name a crushed ingredient that is used in cure for boils.,Snake fang,FALSE,FR,FALSE,keep
131,146,Where is the Slytherin Common Room?,The Dungeons,FALSE,FR,FALSE,keep
132,147,What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra,FALSE,FR,FALSE,keep
133,148,"In Harry Potter and the Half-Blood Prince, what does Hermione smell in the amortenia (or love) potion?","Grass, parchment, spearmint, and something else, something she knew she'd smelled before but couldn't place. ",FALSE,EX,FALSE,edit
134,149,The crop circles in Muggle legends might have been left by what magical creature?,Mooncalf,FALSE,FR,FALSE,keep
135,150,Who anonymously sends Harry his father's Invisibility Cloak on Christmas?,Albus Dumbledore,FALSE,FR,FALSE,keep
136,151,Where does Harry Potter first see Draco Malfoy?,In Madame Malkin’s Robes for All Occasions,FALSE,FR,FALSE,keep
137,152,When did the wildcat gargoyle strike the place?,1911,FALSE,FR,FALSE,keep
138,153,Who is the potions professor?,Professor Severus Snape,TRUE,FR,FALSE,edit
139,155,What is Rowena Ravenclaw's signature item?,Diadem,FALSE,FR,FALSE,keep
140,156,"Who was the Care of Magical Creatures professor immediately before Rubeus Hagrid?""",Silvanus Kettleburn,FALSE,FR,FALSE,edit
141,157,What's the first step to performing a Bell Tailslide?,Flying straight up.,FALSE,FR,FALSE,delete
142,158,"The love potion Amortentia has a unique scent for every person. Which of the following did Harry Potter smell when he encountered it: Freshly mown grass, New parchment, Treacle tart, or The Gryffindor common room fire?",Treacle tart,FALSE,MCQ,FALSE,edit
143,160,What trait do I* value most in a student?,Intellect,FALSE,FR,FALSE,delete
144,161,Whose Patronus arrived at Bill and Fleur's wedding to warn the guests that the Ministry of Magic had fallen?,Kingsley Shacklebolt,FALSE,FR,FALSE,edit
145,162,What charm can repel a Lethifold?,Patronus Charm,FALSE,FR,FALSE,keep
146,163,What did Fred and George use to protest against Dolores Umbridge's authority?,Weasley's Wildfire Whiz-bangs,FALSE,FR,FALSE,keep
147,166,"During their Astronomy O.W.L. exam, what does Hermione Granger state is the largest moon of Jupiter?",Ganymede,FALSE,FR,FALSE,keep
148,168,"In Book 5, Snape is assigned to teach Harry what type of magic?",Occlumency.,FALSE,FR,FALSE,keep
149,169,How is the Grey Lady related to Rowena Ravenclaw?,She's Rowena's daughter.,FALSE,EX,FALSE,keep
150,170,"What powerful dark curse can be resisted by concentrating and, according to lore, by consuming Moly?",The Imperius Curse,FALSE,FR,FALSE,edit
151,171,How do you greet a Hippogriff?,With a bow,FALSE,EX,FALSE,keep
152,172,Which puzzle guarding the Philosopher’s Stone does Hermione Granger solve?,Professor Snape’s logic puzzle with potion bottles,FALSE,EX,FALSE,edit
153,173,What is the title of Book 1 and it’s movie everywhere except in the United States?,Harry Potter and the Philosopher’s Stone,FALSE,FR,FALSE,keep
154,174,Harry and Ginny have three children. What are their names?,"James, Albus, and Lily.",TRUE,FR,FALSE,edit
155,175,Who are the members of the 'Golden Trio'?,"Harry Potter, Ron Weasley, Hermione Granger",FALSE,FR,FALSE,keep
156,176,What item cannot be conjured?,Food,FALSE,FR,FALSE,keep
157,177,What spell works on the Whomping WIllow to stop it from attacking?,The Freezing Charm,FALSE,FR,FALSE,keep
158,178,What was Uric the Oddball best known for wearing on his head?,A jellyfish,FALSE,FR,FALSE,keep
159,179,What spell provides protection against Dementors?,Expecto Patronum,FALSE,FR,FALSE,keep
160,180,"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail?",Wormtail,FALSE,MCQ,FALSE,edit
161,181,Which incantation conjures flowers?,Orchideous,FALSE,FR,FALSE,keep
162,182,"In Harry Potter and the Chamber of Secrets, where did Harry begin hearing the voice that no one else could hear?",In Professor Lockhart’s office,FALSE,FR,FALSE,edit
163,183,What is Tulip’s prank of choice?,Dungbomb,FALSE,FR,FALSE,delete
164,184,Who was Ron's first girlfriend?,Lavender Brown,FALSE,FR,FALSE,keep
165,185,The Blast-Ended Skrewt is a hybrid of a Fire Crab and what?,Manticore,FALSE,FR,FALSE,keep
166,186,What was the Seeker originally called?,The Hunter,FALSE,FR,FALSE,keep
167,187,"What warning, expressed in Latin as 'Draco Dormiens Nunquam Titillandus,' serves as Hogwarts's motto?",Never Tickle a Sleeping Dragon,FALSE,FR,FALSE,edit
168,188,What is the wand motion for Wingardium Leviosa?,Swish and Flick,FALSE,FR,FALSE,keep
169,190,"In Book 4, who does Hermione Granger go with to the Yule Ball?",Viktor Krum.,TRUE,FR,FALSE,keep
170,191,What's Tonks dad's name?,Ted,FALSE,FR,FALSE,keep
171,192,Which Alchemist was active during the Medieval age?,Nicholas Flamel,FALSE,FR,FALSE,keep
172,193,"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks?",He jumps on Ron's head at the Magical Menagerie.,FALSE,EX,FALSE,keep
173,195,Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student?,Armando Dippet,FALSE,FR,FALSE,keep
174,196,"What is Lord Voldemort's full, real name?",Tom Marvolo Riddle.,FALSE,FR,FALSE,keep
175,197,Name an object we’ve Transfigured a porcupine into.,Pincushion,FALSE,FR,FALSE,keep
176,198,Which two students came up with the name “Dumbledore’s Army?,Cho Chang and Ginny Weasley,FALSE,FR,FALSE,keep
177,199,Who is the headmaster of Hogwarts during Harry's years at school?,Albus Dumbledore,FALSE,FR,FALSE,keep
178,200,Who does Hermione impersonate using the Polyjuice Potion in the second book of the Harry Potter series?,Millicent Bulstrode,FALSE,FR,FALSE,keep
179,202,What is the address of the Headquarters of the Order of the Phoenix?,"12 Grimmauld Place, London",FALSE,FR,FALSE,keep
180,204,What is the name of Hagrid's boarhound dog?,Fang,FALSE,FR,FALSE,keep
181,205,Which spell is used in Harry Potter that levitates objects?,Wingardium Leviosa,TRUE,FR,FALSE,keep
182,206,Who previously held Snape's post as Potions Master?,Horace Slughorn,FALSE,FR,FALSE,keep
183,207,What was Elfric the Eager's uprising?,A revolt.,TRUE,FR,FALSE,keep
184,208,When was Azkaban Prison established?,1718,FALSE,FR,TRUE,edit
185,209,What do all the hands on the Weasleys’s magical clock point to when Harry gets to the Burrow?,“Mortal peril”,TRUE,FR,FALSE,keep
186,210,What curse is Harry Potter the only known survivor of?,Avada Kedavra,FALSE,FR,FALSE,keep
187,211,"Which of the following is a known potion ingredient in the wizarding world: Grindylow Gills, Powdered Obsidian, Dragon liver, or Gilly-flower Pollen?",Dragon Liver,FALSE,MCQ,FALSE,edit
188,212,How many players are on a quidditch team?,7,TRUE,FR,TRUE,edit
189,213,Where was Beedle the Bard born?,"Yorkshire, England.",FALSE,FR,FALSE,keep
190,214,What was the name of Neville Longbottom's pet toad?,Trevor,FALSE,FR,FALSE,keep
191,216,"Which of the following is NOT a plausible side effect of a miscast Silencing Charm: Uncontrollable Buzzing Noise, Temporary Deafness, Insatiable Hunger, or Involuntary Tongue-Tying?",Insatiable Hunger,FALSE,MCQ,FALSE,edit
192,221,What is the name of the three-headed dog that guards the Sorcerer's Stone?,Fluffy,TRUE,FR,FALSE,keep
193,222,When did Gringotts Wizarding Bank open?,1474,FALSE,FR,TRUE,edit
194,223,Where did you have to go to study Trelawney's prophecy?,The Centaur Camp,FALSE,FR,FALSE,delete
195,224,What's the name of the magical government in the Harry Potter series?,The Ministry of Magic,FALSE,FR,FALSE,keep
196,225,What type of Potion is Weedosoros?,Poison,FALSE,FR,FALSE,delete
197,226,Which books details the history of Quidditch?,Quidditch Through the Ages,FALSE,FR,FALSE,keep
198,227,"The three D's of Apparition do not include which of the following: Destination, Dimension, Determination, Deliberation?",Dimension,FALSE,MCQ,FALSE,edit
199,228,Who is the Astronomy professor?,Professor Sinistra,FALSE,FR,FALSE,keep
200,230,What does 'Serpensortia' conjure?,Snakes,FALSE,FR,FALSE,keep
201,231,Who was the Minister for Magic who first proposed using Dementors as guards for Azkaban Prison?,Damocles Rowle,FALSE,FR,FALSE,edit
202,233,Who concocts a love potion meant for Harry that Ron ends up taking by mistake?,Romilda Vane,FALSE,FR,FALSE,keep
203,234,What did Hermione use to help heal Ron's arm when it got splinched?,Essence of Dittany,FALSE,FR,FALSE,keep
204,235,What is Wronski Feint?,Pretending to dive for the Snitch.,TRUE,FR,FALSE,keep
205,236,By which statue is there a hidden pathway to Honeydukes?,The one-eyed witch,FALSE,FR,FALSE,keep
206,237,When was the Golden Snidget first introduced into the game of Quidditch?,1269,FALSE,FR,TRUE,edit
207,238,What is Professor McGonagall’s animagus?,Silver tabby cat,FALSE,FR,FALSE,keep
208,239,"What is the middle name of Harry's daughter, Lily?",Luna,FALSE,FR,FALSE,keep
209,240,"To be allowed to Apparate, you must do what two things?",Be at least 17 years old and get your license.,FALSE,FR,FALSE,keep
210,241,What was Elfric known as?,The Eager.,FALSE,FR,FALSE,keep
211,242,What is the mischievous poltergeist Peeves primarily known for at Hogwarts?,Pranks,FALSE,FR,FALSE,edit
212,243,"In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry?",Piers,FALSE,FR,FALSE,keep
213,244,What did Hagrid name his pet dragon?,Norbert,FALSE,FR,FALSE,keep
214,245,"When practising Bibliomancy, what passage should one select?",A random passage,FALSE,FR,FALSE,delete
215,246,Which potion grants the drinker incredible luck?,Felix Felicis,FALSE,FR,FALSE,keep
216,247,Which Weasley dies during the final battle of Hogwarts?,Fred Weasley,FALSE,FR,FALSE,keep
217,248,What is a toadstool?,A mushroom,FALSE,FR,FALSE,delete
218,249,Which Quidditch ball is the biggest?,Quaffle,FALSE,FR,FALSE,keep
219,250,How many points is the Golden Snitch worth?,150,FALSE,FR,TRUE,edit
220,251,What Goblin led the 18th century Golbin Rebellions?,Urg the Unclean,FALSE,FR,FALSE,keep
221,252,"What is the common nickname for the  as the Unlocking Charm, Alohomora?",The Thief's Friend,FALSE,FR,FALSE,keep
222,253,When was Wendelin the Weird alive?,The Middle Ages.,FALSE,FR,FALSE,keep
223,254,And what type of animal does Harry accidentally set free while they're at the zoo?,A boa constrictor,FALSE,FR,FALSE,keep
224,255,"In the Goblet of Fire, which two schools participate in the Triwizard Tournament alongside Hogwarts?",Durmstrang and Beauxbatons,TRUE,FR,FALSE,edit
225,256,What is notable about Everlasting Elixirs?,They never run out,FALSE,FR,FALSE,delete
226,258,"As the wizarding world's high court and parliament, the Wizengamot wields significant power. How many wizards serve on this esteemed body?",50,FALSE,FR,TRUE,edit
227,260,What did Harry Potter's aunt and uncle say his parents passed from?,In a traffic accident,FALSE,FR,FALSE,keep
228,261,Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold.,TRUE,FR,FALSE,keep
229,262,How old was the Philosopher’s Stone co-creator Nicolas Flamel when he decided to destroy it?,665,TRUE,FR,TRUE,edit
230,263,Where is the entrance to the Chamber of Secrets?,Moaning Myrtle's bathroom,TRUE,FR,FALSE,keep
231,264,Where can Shrivelfigs be found?,Abyssinia,TRUE,FR,FALSE,keep
232,265," Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter were a notorious group of friends during their time at Hogwarts. What were their individual code names, respectively?","Moony, Wormtail, Padfoot, and Prongs.",FALSE,FR,FALSE,edit
233,266,What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces?,The Horcruxes,FALSE,FR,FALSE,keep
234,268,What can cause a person's patronus to change?,Major Life Events,TRUE,FR,FALSE,keep
235,269,Which Quidditch players score goals?,The Chasers,FALSE,FR,FALSE,keep
236,270,What magical plant allows humans to breathe underwater?,Gillyweed,FALSE,FR,FALSE,keep
237,272,Who does Harry take to the Yule Ball?,Parvati Patil,FALSE,FR,FALSE,keep
238,273,In which situation would the Blackboard Writing Spell be useful?,Summarising a lecture,FALSE,FR,FALSE,delete
239,274,"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might,FALSE,FR,FALSE,keep
240,275,When is Neville's birthday?,July 30,FALSE,FR,FALSE,keep
241,276,Where could you buy broomsticks?,Quality Quidditch Supplies,FALSE,FR,FALSE,keep
242,277,What does the Philosopher’s Stone do?,"It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold.",FALSE,EX,FALSE,edit
243,278,Which creatures guard wand-making trees?,Bowtruckles,FALSE,FR,FALSE,keep
244,280,"Monkshood and wolfsbane are the same plant, also known as what?",Aconite,TRUE,FR,FALSE,keep
245,281,Who is the Half-Blood Prince?,Severus Snape,FALSE,FR,FALSE,keep
246,282,How did Fred and George get the money to open their shop?,Harry gave Fred and George his triwizard tournament prize money of a 1000 galleeons,FALSE,EX,FALSE,edit
247,283,Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta",FALSE,FR,FALSE,keep
248,285,How many Knuts equal one Sickle?,29,FALSE,FR,TRUE,edit
249,286,What is the incantation for the snake-vanishing spell?,Vipera Evanesca.,FALSE,FR,FALSE,keep
250,288,"In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley,FALSE,FR,FALSE,keep
251,289,What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball,FALSE,FR,FALSE,keep
252,290,Who is the History of Magic Professor?,Professor Binns,FALSE,FR,FALSE,keep
253,291,What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage,FALSE,FR,FALSE,keep
254,292,"Who among the following served as a Hufflepuff Prefect: Justin Finch-Fletchley, Zacharias Smith, Ernie Macmillan, or Anthony Goldstein?",Ernie Macmillan,FALSE,MCQ,FALSE,edit
255,293,"According to the description from Professor Slughorn's classroom, what color is the Draught of Dreamless Sleep: Gold, Pearly White, Purple, or Emerald Green?",Purple,FALSE,MCQ,FALSE,edit
256,294,Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior,FALSE,FR,FALSE,keep
257,295,When do Puffskeins hum?,When they're content.,FALSE,FR,FALSE,keep
258,296,What's one form of Hex-Deflection?,Salvio Hexia,FALSE,FR,FALSE,keep
259,298,Where are the highest quality Shrivelfigs grown?,Abyssinia,TRUE,FR,FALSE,edit
260,299,Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron,FALSE,FR,FALSE,keep
