question,answer,question keywords,answer keywords,combined keywords
Vipera Evanesca is used to vaporize what kind of creature?,Snake,"['vipera', 'vaporize', 'kind', 'use', 'what', 'creature', 'evanesca']",['snake'],"['vipera', 'vaporize', 'kind', 'use', 'what', 'creature', 'evanesca', 'snake']"
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"['backwards', 'face', 'rid', 'work', 'when', 'how', 'steering']","['turn', 'opposite', 'direction']","['backwards', 'face', 'rid', 'work', 'when', 'how', 'steering', 'turn', 'opposite', 'direction']"
How old was Luna when she lost her mom?,Nine,"['luna', 'old', 'when', 'how', 'mom', 'lose']",['nine'],"['luna', 'old', 'when', 'how', 'mom', 'lose', 'nine']"
Who or what determines the House for each first year student?,The Sorting Hat,"['determine', 'who', 'house', 'first', 'student', 'what', 'year']","['sort', 'hat']","['determine', 'who', 'house', 'first', 'student', 'what', 'year', 'sort', 'hat']"
What is the root language of any spells?,Latin,"['root', 'spell', 'language', 'what']",['latin'],"['root', 'spell', 'language', 'what', 'latin']"
What did Regulus Black become after he died?,Inferi,"['regulus', 'die', 'black', 'what', 'become']",['inferi'],"['regulus', 'die', 'black', 'what', 'become', 'inferi']"
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['prefect', 'let', 'harry', 'bathroom', 'next', 'special', 'diggory', 'entrance', 'statue', 'lavatory', 'use', 'goblet', 'man', 'fire', 'cedric', 'what']","['bewilder', 'boris']","['prefect', 'let', 'harry', 'bathroom', 'next', 'special', 'diggory', 'entrance', 'statue', 'lavatory', 'use', 'goblet', 'man', 'fire', 'cedric', 'what', 'bewilder', 'boris']"
"Who is known as the ""Chosen One""?",Harry Potter,"['choose', 'who', 'know', 'one']","['potter', 'harry']","['choose', 'who', 'know', 'one', 'potter', 'harry']"
Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,"['helga', 'who', 'destroy', 'hufflepuffs', 'horcrux', 'cup']","['hermione', 'granger']","['helga', 'who', 'destroy', 'hufflepuffs', 'horcrux', 'cup', 'hermione', 'granger']"
What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,"['caretaker', 'secret', 'filch', 'great', 'what', 'hogwarts']","['he', 'squib']","['caretaker', 'secret', 'filch', 'great', 'what', 'hogwarts', 'he', 'squib']"
What is the name of America's magical government?,MACUSA,"['government', 'magical', 'americas', 'what', 'name']",['macusa'],"['government', 'magical', 'americas', 'what', 'name', 'macusa']"
What year was the first match?,1050 AD,"['year', 'match', 'first', 'what']",['ad'],"['year', 'match', 'first', 'what', 'ad']"
What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,"['potion', 'allow', 'wizard', 'someone', 'limited', 'witch', 'else', 'what', 'amount', 'time', 'disguise']","['polyjuice', 'potion']","['potion', 'allow', 'wizard', 'someone', 'limited', 'witch', 'else', 'what', 'amount', 'time', 'disguise', 'polyjuice', 'potion']"
What kind of core did Harry's first want possess?,Phoenix Feather,"['core', 'want', 'first', 'harrys', 'kind', 'what', 'possess']","['phoenix', 'feather']","['core', 'want', 'first', 'harrys', 'kind', 'what', 'possess', 'phoenix', 'feather']"
What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,"['boggart', 'fear', 'worst', 'reveal', 'what', 'finnigans', 'seamus']",['banshee'],"['boggart', 'fear', 'worst', 'reveal', 'what', 'finnigans', 'seamus', 'banshee']"
What is Ron's middle name?,Bilius,"['rons', 'middle', 'name', 'what']",['bilius'],"['rons', 'middle', 'name', 'what', 'bilius']"
Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,"['which', 'task', 'face', 'triwizard', 'diggory', 'first', 'cedric', 'tournament', 'dragon']","['shortsnout', 'swedish']","['which', 'task', 'face', 'triwizard', 'diggory', 'first', 'cedric', 'tournament', 'dragon', 'shortsnout', 'swedish']"
Where are flying lessons held?,Training Grounds,"['fly', 'where', 'hold', 'lesson']","['ground', 'train']","['fly', 'where', 'hold', 'lesson', 'ground', 'train']"
"""Lemon Drop"" is the password to whose office?",Dumbledore,"['drop', 'whose', 'password', 'lemon', 'office']",['dumbledore'],"['drop', 'whose', 'password', 'lemon', 'office', 'dumbledore']"
A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,"['office', 'entrance', 'statue', 'headmaster', 'what', 'creature', 'mark']",['gargoyle'],"['office', 'entrance', 'statue', 'headmaster', 'what', 'creature', 'mark', 'gargoyle']"
Who has been to every Quidditch World Cup since they were born?,Merula,"['since', 'who', 'born', 'every', 'world', 'quidditch', 'cup']",['merula'],"['since', 'who', 'born', 'every', 'world', 'quidditch', 'cup', 'merula']"
Who founded Hogsmeade Village?,Hengist of Woodcroft,"['found', 'who', 'village', 'hogsmeade']","['hengist', 'woodcroft']","['found', 'who', 'village', 'hogsmeade', 'hengist', 'woodcroft']"
Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,"['die', 'match', 'who', 'first', 'quidditch', 'referee']","['youdle', 'cyprian']","['die', 'match', 'who', 'first', 'quidditch', 'referee', 'youdle', 'cyprian']"
Madam Hooch has distinct yellow what?,Eyes,"['yellow', 'hooch', 'distinct', 'what', 'madam']",['eye'],"['yellow', 'hooch', 'distinct', 'what', 'madam', 'eye']"
What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,"['george', 'harry', 'tool', 'phoenix', 'potter', 'order', 'invent', 'fred', 'eavesdrop', 'what']","['ear', 'extendable']","['george', 'harry', 'tool', 'phoenix', 'potter', 'order', 'invent', 'fred', 'eavesdrop', 'what', 'ear', 'extendable']"
What does 'Meteolojinx Recanto' do?,Dispel weather charms,"['meteolojinx', 'recanto', 'what']","['weather', 'dispel', 'charm']","['meteolojinx', 'recanto', 'what', 'weather', 'dispel', 'charm']"
At what age can you earn your Apparition license?,17,"['license', 'apparition', 'earn', 'what', 'age']",[],"['license', 'apparition', 'earn', 'what', 'age']"
What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,"['spell', 'appear', 'one', 'wand', 'make', 'vermillious', 'tip', 'what']","['red', 'spark']","['spell', 'appear', 'one', 'wand', 'make', 'vermillious', 'tip', 'what', 'red', 'spark']"
What is the name of the house-elf that belongs to the Malfoy family?,Dobby,"['family', 'houseelf', 'malfoy', 'belong', 'what', 'name']",['dobby'],"['family', 'houseelf', 'malfoy', 'belong', 'what', 'name', 'dobby']"
What does 'Colloportus' do?,Lock and seal doors,"['colloportus', 'what']","['lock', 'door', 'seal']","['colloportus', 'what', 'lock', 'door', 'seal']"
How is Quodpot different from Quidditch?,The ball explodes,"['how', 'quodpot', 'different', 'quidditch']","['ball', 'explodes']","['how', 'quodpot', 'different', 'quidditch', 'ball', 'explodes']"
What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob),"['snap', 'professor', 'patronus', 'what']","['doe', 'lily', 'potterssob']","['snap', 'professor', 'patronus', 'what', 'doe', 'lily', 'potterssob']"
Where is Hogwarts located?,Scotland,"['where', 'locate', 'hogwarts']",['scotland'],"['where', 'locate', 'hogwarts', 'scotland']"
Catching what object ends a Quidditch match?,Golden Snitch,"['catch', 'object', 'quidditch', 'what', 'end', 'match']","['snitch', 'golden']","['catch', 'object', 'quidditch', 'what', 'end', 'match', 'snitch', 'golden']"
What is the Chudley Cannons' team colour?,Orange,"['team', 'cannon', 'what', 'colour', 'chudley']",['orange'],"['team', 'cannon', 'what', 'colour', 'chudley', 'orange']"
Who previously held Snape's post?,Horace Slughorn,"['who', 'hold', 'previously', 'snapes', 'post']","['slughorn', 'horace']","['who', 'hold', 'previously', 'snapes', 'post', 'slughorn', 'horace']"
What sensation accompanies the Sea Urchin Jinx?,Discomfort,"['accompany', 'jinx', 'sensation', 'sea', 'what', 'urchin']",['discomfort'],"['accompany', 'jinx', 'sensation', 'sea', 'what', 'urchin', 'discomfort']"
How often does a Streeler's shell change colour?,Every Hour,"['streelers', 'how', 'often', 'shell', 'change', 'colour']","['every', 'hour']","['streelers', 'how', 'often', 'shell', 'change', 'colour', 'every', 'hour']"
Who becomes the Charms professor after Professor Flitwick?,Filius Flitwick remains the Charms professor throughout the series.,"['flitwick', 'who', 'professor', 'charm', 'become']","['remain', 'flitwick', 'professor', 'charm', 'filius', 'throughout', 'series']","['flitwick', 'who', 'professor', 'charm', 'become', 'remain', 'flitwick', 'professor', 'charm', 'filius', 'throughout', 'series']"
Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,"['get', 'rid', 'who', 'student', 'acne', 'curse', 'hogwarts']","['eloise', 'midgen']","['get', 'rid', 'who', 'student', 'acne', 'curse', 'hogwarts', 'eloise', 'midgen']"
Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,"['jackalope', 'wand', 'core', 'who', 'craft', 'famously', 'antler']","['sayre', 'isolt']","['jackalope', 'wand', 'core', 'who', 'craft', 'famously', 'antler', 'sayre', 'isolt']"
Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,"['which', 'harry', 'rescue', 'book', 'centaur', 'forest', 'forbidden']",['firenze'],"['which', 'harry', 'rescue', 'book', 'centaur', 'forest', 'forbidden', 'firenze']"
What is the core of Draco Malfoy's wand?,Unicorn hair,"['wand', 'core', 'malfoys', 'what', 'draco']","['hair', 'unicorn']","['wand', 'core', 'malfoys', 'what', 'draco', 'hair', 'unicorn']"
"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"['which', 'harry', 'hermione', 'book', 'malady', 'old', 'run', 'mungos', 'friend', 'magical', 'ron', 'hospital', 'injury', 'st']","['lockhart', 'gilderoy']","['which', 'harry', 'hermione', 'book', 'malady', 'old', 'run', 'mungos', 'friend', 'magical', 'ron', 'hospital', 'injury', 'st', 'lockhart', 'gilderoy']"
Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,"['creatures', 'which', 'hair', 'woven', 'cloak', 'invisibility', 'often']",['demiguise'],"['creatures', 'which', 'hair', 'woven', 'cloak', 'invisibility', 'often', 'demiguise']"
What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,"['gryffindor', 'entrance', 'painting', 'guard', 'room', 'what', 'common']","['fat', 'lady']","['gryffindor', 'entrance', 'painting', 'guard', 'room', 'what', 'common', 'fat', 'lady']"
How did I become a metamorphagus?,You were born one.,"['how', 'metamorphagus', 'become']","['born', 'one']","['how', 'metamorphagus', 'become', 'born', 'one']"
What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,"['happen', 'world', 'quidditch', 'what', 'cup']","['foul', 'player', 'commit']","['happen', 'world', 'quidditch', 'what', 'cup', 'foul', 'player', 'commit']"
What's Helga Hufflepuff's signature item?,Cup,"['helga', 'hufflepuffs', 'item', 'signature', 'whats']",['cup'],"['helga', 'hufflepuffs', 'item', 'signature', 'whats', 'cup']"
From which word did the Mirror of Erised get its name?,Desire,"['which', 'get', 'word', 'erised', 'mirror', 'name']",['desire'],"['which', 'get', 'word', 'erised', 'mirror', 'name', 'desire']"
What is the correct pronunciation of the Levitation Charm?,Win-GAR-dium Levi-OH-sa.,"['pronunciation', 'levitation', 'charm', 'what', 'correct']","['leviohsa', 'wingardium']","['pronunciation', 'levitation', 'charm', 'what', 'correct', 'leviohsa', 'wingardium']"
Where is the nearest dragon reserve?,Romania,"['where', 'reserve', 'dragon', 'near']",['romania'],"['where', 'reserve', 'dragon', 'near', 'romania']"
Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,"['where', 'meet', 'tom', 'first', 'riddle', 'time', 'dumbledore']","['wool', 'ophanage']","['where', 'meet', 'tom', 'first', 'riddle', 'time', 'dumbledore', 'wool', 'ophanage']"
What spell duplicates an item?,Geminio,"['spell', 'item', 'duplicate', 'what']",['geminio'],"['spell', 'item', 'duplicate', 'what', 'geminio']"
Which of these is not a type of broom?,Phoenix,"['which', 'type', 'broom']",['phoenix'],"['which', 'type', 'broom', 'phoenix']"
Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.,"['see', 'where', 'cloud', 'easily', 'constellation', 'dark']","['hemisphere', 'southern']","['see', 'where', 'cloud', 'easily', 'constellation', 'dark', 'hemisphere', 'southern']"
What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,"['fake', 'absence', 'cover', 'weasley', 'illness', 'ron', 'say', 'what', 'hogwarts']",['spattergroit'],"['fake', 'absence', 'cover', 'weasley', 'illness', 'ron', 'say', 'what', 'hogwarts', 'spattergroit']"
What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,"['task', 'harry', 'face', 'triwizard', 'potter', 'first', 'what', 'tournament', 'dragon', 'name']","['hungarian', 'horntail']","['task', 'harry', 'face', 'triwizard', 'potter', 'first', 'what', 'tournament', 'dragon', 'name', 'hungarian', 'horntail']"
Professor Snape is the head of which Hogwarts house?,Slytherin,"['which', 'snape', 'professor', 'house', 'head', 'hogwarts']",['slytherin'],"['which', 'snape', 'professor', 'house', 'head', 'hogwarts', 'slytherin']"
Professor Sprout was the head of what department at Hogwarts?,Herbology,"['sprout', 'professor', 'head', 'what', 'department', 'hogwarts']",['herbology'],"['sprout', 'professor', 'head', 'what', 'department', 'hogwarts', 'herbology']"
What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),"['gringotts', 'magical', 'guard', 'bank', 'what', 'creature', 'know']","['ukrainian', 'ironbelly', 'dragon']","['gringotts', 'magical', 'guard', 'bank', 'what', 'creature', 'know', 'ukrainian', 'ironbelly', 'dragon']"
What magical sport is popular in North America?,Quodpot,"['north', 'popular', 'magical', 'sport', 'what', 'america']",['quodpot'],"['north', 'popular', 'magical', 'sport', 'what', 'america', 'quodpot']"
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,"['shop', 'weasley', 'old', 'puff', 'brother', 'pet', 'buy', 'ginny', 'joke', 'what', 'pygmy', 'name']",['arnold'],"['shop', 'weasley', 'old', 'puff', 'brother', 'pet', 'buy', 'ginny', 'joke', 'what', 'pygmy', 'name', 'arnold']"
"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,"['who', 'dumbledore', 'headmaster', 'hogwarts']","['dippet', 'armando']","['who', 'dumbledore', 'headmaster', 'hogwarts', 'dippet', 'armando']"
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,"['fly', 'knew', 'surprise', 'first', 'step', 'id', 'broom', 'whats']",['kick'],"['fly', 'knew', 'surprise', 'first', 'step', 'id', 'broom', 'whats', 'kick']"
What is the incantation for the Memory Charm?,Obliviate,"['memory', 'incantation', 'charm', 'what']",['obliviate'],"['memory', 'incantation', 'charm', 'what', 'obliviate']"
In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,"['which', 'wiould', 'use', 'drought', 'scenario', 'deflate']","['nulling', 'effect', 'solution', 'swell']","['which', 'wiould', 'use', 'drought', 'scenario', 'deflate', 'nulling', 'effect', 'solution', 'swell']"
Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.","['harry', 'live', 'who', 'go', 'hogwarts']","['vernon', 'aunt', 'cousin', 'uncle', 'dudley', 'petunia', 'dursley']","['harry', 'live', 'who', 'go', 'hogwarts', 'vernon', 'aunt', 'cousin', 'uncle', 'dudley', 'petunia', 'dursley']"
"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,"['give', 'fly', 'phoenix', 'group', 'who', 'order', 'harrys', 'lesson']","['hooch', 'rolanda']","['give', 'fly', 'phoenix', 'group', 'who', 'order', 'harrys', 'lesson', 'hooch', 'rolanda']"
What is the name of Ron's brother who works at Gringotts?,Bill Weasley,"['gringotts', 'work', 'who', 'brother', 'ron', 'what', 'name']","['bill', 'weasley']","['gringotts', 'work', 'who', 'brother', 'ron', 'what', 'name', 'bill', 'weasley']"
Which of these charms is the dancing-feet jinx?,Tarantallegra,"['which', 'jinx', 'dancingfeet', 'charm']",['tarantallegra'],"['which', 'jinx', 'dancingfeet', 'charm', 'tarantallegra']"
Phyllomancy is the practice of seeing the future with what?,Leaves,"['phyllomancy', 'future', 'see', 'what', 'practice']",['leaf'],"['phyllomancy', 'future', 'see', 'what', 'practice', 'leaf']"
Who created the Sorcerer's Stone?,Nicolas Flamel,"['create', 'sorcerer', 'who', 'stone']","['nicolas', 'flamel']","['create', 'sorcerer', 'who', 'stone', 'nicolas', 'flamel']"
What magical bird did Uric have fifty of in his house?,Augureys,"['house', 'magical', 'uric', 'bird', 'what', 'fifty']",['augureys'],"['house', 'magical', 'uric', 'bird', 'what', 'fifty', 'augureys']"
Which Quidditch team is last in the league?,Chudley Cannons,"['team', 'which', 'last', 'league', 'quidditch']","['chudley', 'cannon']","['team', 'which', 'last', 'league', 'quidditch', 'chudley', 'cannon']"
What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,"['when', 'magical', 'magic', 'classify', 'xxx', 'what', 'creature', 'mean', 'ministry']","['cope', 'competent', 'wizard']","['when', 'magical', 'magic', 'classify', 'xxx', 'what', 'creature', 'mean', 'ministry', 'cope', 'competent', 'wizard']"
What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,"['harry', 'familys', 'potter', 'ancestral', 'home', 'black', 'what', 'series', 'name']","['place', 'grimmauld']","['harry', 'familys', 'potter', 'ancestral', 'home', 'black', 'what', 'series', 'name', 'place', 'grimmauld']"
Which of the following is caused by space weather?,Auroras.,"['which', 'follow', 'weather', 'space', 'cause']",['aurora'],"['which', 'follow', 'weather', 'space', 'cause', 'aurora']"
What does the Ear-Shrivelling Curse cause?,Ears to wither,"['earshrivelling', 'curse', 'cause', 'what']","['ear', 'wither']","['earshrivelling', 'curse', 'cause', 'what', 'ear', 'wither']"
How many Horcruxes did Voldemort create intentionally?,Six,"['many', 'create', 'intentionally', 'how', 'horcruxes', 'voldemort']",['six'],"['many', 'create', 'intentionally', 'how', 'horcruxes', 'voldemort', 'six']"
My voice is best compared to what?,A Vacuum Cleaner,"['best', 'compare', 'voice', 'what']","['vacuum', 'clean']","['best', 'compare', 'voice', 'what', 'vacuum', 'clean']"
When did Harry learn Accio?,Year 4,"['harry', 'learn', 'accio', 'when']",['year'],"['harry', 'learn', 'accio', 'when', 'year']"
What type of magical creature is Dobby?,House-elf,"['type', 'magical', 'dobby', 'what', 'creature']",['houseelf'],"['type', 'magical', 'dobby', 'what', 'creature', 'houseelf']"
Which is not the form of Transfiguration?,Enchantment,"['transfiguration', 'which', 'form']",['enchantment'],"['transfiguration', 'which', 'form', 'enchantment']"
"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,"['hermione', 'triwizard', 'who', 'escort', 'ball', 'yule', 'tournament']","['krum', 'viktor']","['hermione', 'triwizard', 'who', 'escort', 'ball', 'yule', 'tournament', 'krum', 'viktor']"
Which of these is not a type of broom?,Occamy,"['which', 'type', 'broom']",['occamy'],"['which', 'type', 'broom', 'occamy']"
What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,"['malady', 'mungos', 'magical', 'what', 'hospital', 'injury', 'emblem', 'st']","['bone', 'cross', 'wand']","['malady', 'mungos', 'magical', 'what', 'hospital', 'injury', 'emblem', 'st', 'bone', 'cross', 'wand']"
Which part of the asphodel plant is used in Draught of Living Death?,Root,"['which', 'plant', 'death', 'asphodel', 'part', 'living', 'draught', 'use']",['root'],"['which', 'plant', 'death', 'asphodel', 'part', 'living', 'draught', 'use', 'root']"
What’s the best solution for a broken nose?,Episkey,"['nose', 'broken', 'best', 'solution', 'whats']",['episkey'],"['nose', 'broken', 'best', 'solution', 'whats', 'episkey']"
What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,"['defence', 'mimbulus', 'use', 'what', 'mimbletonia', 'mechanism']",['stinksap'],"['defence', 'mimbulus', 'use', 'what', 'mimbletonia', 'mechanism', 'stinksap']"
How many Rogue Planets exist in the Milky Way?,Billions.,"['many', 'rogue', 'how', 'planet', 'way', 'exist', 'milky']",['billion'],"['many', 'rogue', 'how', 'planet', 'way', 'exist', 'milky', 'billion']"
A Nimbus is a type of what?,Broom,"['type', 'nimbus', 'what']",['broom'],"['type', 'nimbus', 'what', 'broom']"
What Quidditch players fend off the Bludgers?,The Beaters,"['quidditch', 'what', 'bludgers', 'fend', 'player']",['beater'],"['quidditch', 'what', 'bludgers', 'fend', 'player', 'beater']"
Did Muggles use ancient runes as well?,They did.,"['rune', 'muggles', 'well', 'use', 'ancient']",[],"['rune', 'muggles', 'well', 'use', 'ancient']"
Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,"['international', 'liechtenstein', 'wizard', 'why', 'meet', 'first', 'attend', 'confederation']","['right', 'stance', 'troll']","['international', 'liechtenstein', 'wizard', 'why', 'meet', 'first', 'attend', 'confederation', 'right', 'stance', 'troll']"
Which of the following was a reason why the 14th century witch burnings were pointless?,Flame-Freezing Charm,"['which', 'burning', 'why', 'reason', 'pointless', 'follow', 'century', 'witch', 'th']","['flamefreezing', 'charm']","['which', 'burning', 'why', 'reason', 'pointless', 'follow', 'century', 'witch', 'th', 'flamefreezing', 'charm']"
Where are Kappas most commonly found?,Japan,"['where', 'commonly', 'find', 'kappa']",['japan'],"['where', 'commonly', 'find', 'kappa', 'japan']"
What is the name of the wizard village near Hogwarts?,Hogsmeade,"['village', 'wizard', 'near', 'what', 'name', 'hogwarts']",['hogsmeade'],"['village', 'wizard', 'near', 'what', 'name', 'hogwarts', 'hogsmeade']"
The Deflating Drought is an antidote to which potion?,Swelling Solution,"['which', 'potion', 'drought', 'antidote', 'deflate']","['solution', 'swell']","['which', 'potion', 'drought', 'antidote', 'deflate', 'solution', 'swell']"
"What is the primary school attended by Harry Potter's son, Albus Severus Potter?",Hogwarts School of Witchcraft and Wizardry,"['school', 'harry', 'severus', 'son', 'potter', 'primary', 'attend', 'what', 'albus']","['wizardry', 'school', 'witchcraft', 'hogwarts']","['school', 'harry', 'severus', 'son', 'potter', 'primary', 'attend', 'what', 'albus', 'wizardry', 'school', 'witchcraft', 'hogwarts']"
The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award,"['give', 'which', 'wizard', 'medieval', 'assembly', 'european', 'award']","['fantastic', 'award', 'bravery', 'beast']","['give', 'which', 'wizard', 'medieval', 'assembly', 'european', 'award', 'fantastic', 'award', 'bravery', 'beast']"
A Firebolt is a type of what?,Broom,"['type', 'firebolt', 'what']",['broom'],"['type', 'firebolt', 'what', 'broom']"
Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,"['who', 'gamekeeper', 'hogwarts']","['hagrid', 'rubeus']","['who', 'gamekeeper', 'hogwarts', 'hagrid', 'rubeus']"
What is the Name of America’s Magical Government?,MACUSA,"['government', 'magical', 'americas', 'what', 'name']",['macusa'],"['government', 'magical', 'americas', 'what', 'name', 'macusa']"
"At the beginning of the story, where does Hedwig find Harry?",She is waiting in his room at the Leaky Cauldron. Clever owl!,"['harry', 'where', 'story', 'find', 'hedwig', 'begin']","['clever', 'owl', 'wait', 'room', 'cauldron', 'leaky']","['harry', 'where', 'story', 'find', 'hedwig', 'begin', 'clever', 'owl', 'wait', 'room', 'cauldron', 'leaky']"
How many classes did Hermione Granger take this year?,12!,"['many', 'hermione', 'year', 'how', 'class', 'granger', 'take']",[],"['many', 'hermione', 'year', 'how', 'class', 'granger', 'take']"
What is Voldemort's mother's name?,Merope,"['mother', 'voldemorts', 'name', 'what']",['merope'],"['mother', 'voldemorts', 'name', 'what', 'merope']"
Why would you need to switch brooms midair?,Broom failure,"['why', 'midair', 'need', 'broom', 'switch', 'would']","['failure', 'broom']","['why', 'midair', 'need', 'broom', 'switch', 'would', 'failure', 'broom']"
"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin,"['harry', 'potter', 'teach', 'who', 'defense', 'art', 'werewolf', 'prisoner', 'what', 'azkaban', 'name', 'dark']","['lupin', 'remus']","['harry', 'potter', 'teach', 'who', 'defense', 'art', 'werewolf', 'prisoner', 'what', 'azkaban', 'name', 'dark', 'lupin', 'remus']"
What does the term 'Muggle' refer to in Harry Potter?,A non-magical person,"['harry', 'term', 'potter', 'muggle', 'refer', 'what']","['nonmagical', 'person']","['harry', 'term', 'potter', 'muggle', 'refer', 'what', 'nonmagical', 'person']"
What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,"['turn', 'transfiguration', 'type', 'goldfinch', 'golden', 'what', 'snitch']",['transformation'],"['turn', 'transfiguration', 'type', 'goldfinch', 'golden', 'what', 'snitch', 'transformation']"
Where does Valerian grow best?,In the sun,"['best', 'where', 'valerian', 'grow']",['sun'],"['best', 'where', 'valerian', 'grow', 'sun']"
What's the tallest tower at Hogwarts?,The Astronomy Tower.,"['tower', 'tallest', 'whats', 'hogwarts']","['astronomy', 'tower']","['tower', 'tallest', 'whats', 'hogwarts', 'astronomy', 'tower']"
