question,answer
Where did Harry begin hearing the voice that no one else could hear?,In Professor Lockhart’s office
What is Tulip’s prank of choice?,Dungbomb
Who was Ron's first girlfriend?,Lavender Brown
The Blast-Ended Skrewt is a hybrid of a Fire Crab and what?,Manticore
What was the Seeker originally called?,The Hunter
"What does Hogwarts say you should never do, but I'd love to do?",Tickle a Sleeping Dragon
What is the wand motion for Wingardium Leviosa?,Swish and Flick
How is Quodpot different from Quiddtich?,The ball explodes.
"In Book 4, who does Hermione Granger go with to the Yule Ball?",Viktor Krum.
What's Tonks dad's name?,Ted
Which Alchemist was active during the Medieval age?,Nicholas Flamel
"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks?",He jumps on Ron's head at the Magical Menagerie.
How old was Harry when he got his first letter from Hogwarts?,Eleven
Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student?,Armando Dippet
"What is Lord Voldemort's full, real name?",Tom Marvolo Riddle.
Name an object we’ve Transfigured a porcupine into.,Pincushion
Which two students came up with the name “Dumbledore’s Army?,Cho Chang and Ginny Weasley
Who is the headmaster of Hogwarts during Harry's years at school?,Albus Dumbledore
Who does Hermione impersonate using the Polyjuice Potion in the second book of the Harry Potter series?,Millicent Bulstrode
Which of these is needed for successful broom casting?,Balance
What is the address of the Headquarters of the Order of the Phoenix?,"12 Grimmauld Place, London"
What would Peevsey do at a trial?,Cause a mistrial
What is the name of Hagrid's boarhound dog?,Fang
Which spell is used in Harry Potter that levitates objects?,Wingardium Leviosa
Who previously held Snape's post as Potions Master?,Horace Slughorn
What was Elfric the Eager's uprising?,A revolt.
When was Azkaban Prison established?,1718
What do all the hands on the Weasleys’s magical clock point to when Harry gets to the Burrow?,“Mortal peril”
What curse is Harry Potter the only known survivor of?,Avada Kedavra
Name one of the potion's ingredients...,Dragon Liver
How many players are on a quidditch team?,7
Where was Beedle the Bard born?,"Yorkshire, England."
What was the name of Neville Longbottom's pet toad?,Trevor
A: Which ghost is the most terrifying?,Bloody Baron
Which is NOT a side effect of a miscast Silencing Charm?,Insatiable Hunger
Which of the following could very well be a Chameleon Ghoul?,Coat Rack
Which of the following is NOT a type of Transfiguration?,Summoning
What are all Warlock conventions?,Confidential / Important.
Which of these is an ancient predecessor to Quidditch?,Creaothceann.
What is the name of the three-headed dog that guards the Sorcerer's Stone?,Fluffy
When did Gringotts Wizarding Bank open?,1474
Where did you have to go to study Trelawney's prophecy?,The Centaur Camp
What's the name of the magical government in the Harry Potter series?,The Ministry of Magic
What type of Potion is Weedosoros?,Poison
Which books details the history of Quidditch?,Quidditch Through the Ages
The three D's of Apparition do not include which of the below?,Dimension
Who is the Astronomy professor?,Professor Sinistra
Which of the following is another dive commonly used by Seekers?,Spiral Dive
What does 'Serpensortia' conjure?,Snakes
Who decided the Dementor infestation could be an asset?,Damocles Rowle
How many Philosopher's Stones have been known to exist?,One
Who concocts a love potion meant for Harry that Ron ends up taking by mistake?,Romilda Vane
What did Hermione use to help heal Ron's arm when it got splinched?,Essence of Dittany
What is Wronski Feint?,Pretending to dive for the Snitch.
By which statue is there a hidden pathway to Honeydukes?,The one-eyed witch
When was the Golden Snidget first introduced into the game of Quidditch?,1269
What is Professor McGonagall’s animagus?,Silver tabby cat
"What is the middle name of Harry's daughter, Lily?",Luna
"To be allowed to Apparate, you must do what two things?",Be at least 17 years old and get your license.
What was Elfric known as?,The Eager.
Peeves is a giant of what?,Pranks
"In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry?",Piers
What did Hagrid name his pet dragon?,Norbert
"When practising Bibliomancy, what passage should one select?",A random passage
Which potion grants the drinker incredible luck?,Felix Felicis
Which Weasley dies during the final battle of Hogwarts?,Fred Weasley
What is a toadstool?,A mushroom
Which Quidditch ball is the biggest?,Quaffle
How many points is the Golden Snitch worth?,150
What Goblin led the 18th century Golbin Rebellions?,Urg the Unclean
Who would make the most use of the charm Alohomora?,A Thief
When was Wendelin the Weird alive?,The Middle Ages.
And what type of animal does Harry accidentally set free while they're at the zoo?,A boa constrictor
"In the Goblet of Fire, which two schools participate in the Triwizard Tournament alongside Hogwarts?",Durmstrang and Beauxbatons
What is notable about Everlasting Elixirs?,They never run out
Which character do we see ride a broom for the first time in this movie?,Hermione Granger
I bet you don't know how many wizards serve on the Wizengamot!,50
What would Peevsey do at a trial?,Cause a mistrial.
What did Harry Potter's aunt and uncle say his parents passed from?,In a traffic accident
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold.
How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it?,665
Where is the entrance to the Chamber of Secrets?,Moaning Myrtle's bathroom
Where can Shrivelfigs be found?,Abyssinia
"Moony, Wormtail, Padfoot, and Prongs are code names for which four characters?","Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter."
What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces?,The Horcruxes
How many times did Wendelin the Weird allow herself to be caught?,Forty-seven.
What can cause a person's patronus to change?,Major Life Events
Which Quidditch players score goals?,The Chasers
What magical plant allows humans to breathe underwater?,Gillyweed
How do you tell if a door is Imperturbable?,Chuck stuff at it
Who does Harry take to the Yule Ball?,Parvati Patil
In which situation would the Blackboard Writing Spell be useful?,Summarising a lecture
"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might
When is Neville's birthday?,July 30
Where could you buy broomsticks?,Quality Quidditch Supplies
What does the Sorcerer's Stone do?,"It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold."
Which creatures guard wand-making trees?,Bowtruckles
Screechsnaps are capable of doing which of the following?,Move & Make Noise
"Monkshood and wolfsbane are the same plant, also known as what?",Aconite
Who is the Half-Blood Prince?,Severus Snape
How did Fred and George get the money to open their shop?,They won a bet on the Quidditch World Cup
Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta"
Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer
How many Knuts equal one Sickle?,29
What is the incantation for the snake-vanishing spell?,Vipera Evanesca.
How many points is a goal worth?,Ten
"In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley
What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball
Who is the History of Magic Professor?,Professor Binns
What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage
Who among the following served as a Hufflepuff Prefect?,Ernie Macmillan
What does the Potion for Dreamless Sleep induce?,Drowsiness.
Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior
When do Puffskeins hum?,When they're content.
What's one form of Hex-Deflection?,Salvio Hexia
Who of the following was not a classmate of Harry Potter?,Fleur Delacour
Where are the highest quality Shrivelfigs grown?,Abyssinia
Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron
Who is the flying instructor?,Madam Hooch
What are the colors of Ravenclaw?,Blue and bronze
What did Wendelin do to make sure she wasn't recognized?,Wore disguises.
Where can Knotgrass be found?,The Forbidden Forest
Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket
"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch
Mimbulus mimbletonia secretes what substance?,Stinksap
What does Charlie Weasley do for a living after graduation?,Study dragons
What kind of wood is Harry's first wand made out of?,Holly
Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others?,"Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem."
Thestrals are mistakenly considered to be omens of what?,Misfortune.
What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.
What is the name of Harry's owl?,Hedwig
Which Quidditch players fend off the Bludgers?,The Beaters
How many staircases does Hogwarts have?,142
What was the point of this lesson?,Fine tune your skills
How many presents did Dudley Dursley receive on his birthday in total?,"38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it."
Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback
Who wrote the book Curses and Counter-Curses?,Viridian
In what capacity did the Sardinian sorcerers attend the Convention?,Sub-Committee
How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike
"When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process?",Several
Which incantation cancels all spell effects?,Finite Incantatem
In what year did the Gargoyle Strike take place?,1911
"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces
What is a group of Bowtruckles called?,Branch
Who was the original owner of the locket Horcrux?,Salazar Slytherin
What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley
Which of these creatures' blood will keep a human alive?,Unicorn
What am I most known for?,My Partially Severed Neck
Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron
Do you know what potion is effective against Banshees?,The Laughing Potion
What do Dark Spells require in order to be successful?,Malicious Intent
What are meteor showers usually named after?,Constellations.
Who discovered the 12 uses for dragon blood?,Professor Dumbledore
How many Lionfish Spines are used in one batch of Herbicide Potion?,Four
Which Quidditch ball is equipped with the Gripping Charm?,Quaffle
Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration."
"What kind of pet does Harry own, and what is her name?",An owl named Hedwig.
What covers the distinct nettle leaf?,Stinging hairs.
Do you know what kind of creature a Boggart is? Because I [Merula] do.,Non-being
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy
What incantation shrinks an object?,Reducio
Who is the Divination Professor?,Professor Trelawney
What spell vanishes an object?,Evanesco
What is the most powerful truth serum?,Veritaserum
Who is the Head of Ravenclaw House?,Professor Flitwick
"If one wished to increase the effect of the Bombarda spell, which incantation would you use?",Bombarda Maxima
What is an acceptable use of the Orb?,Divining the future
What type of Ghoul is capable of disguising itself?,Chameleon Ghouls
Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy
Which is NOT a reason for a wizard to remain on earth as a ghost?,Hunger
Who kills Dobby?,Bellatrix Lestrange
What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella
What is the animal symbol of Ravenclaw?,Eagle
True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.
"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.
What's the only all-wizard village in Britain?,Hogsmeade
"Oy, you'll be sure to remember this one. During our first day of Herbology class, what creature took the form of a werewolf and gave Penny Haywood a scare?",Boggart
Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe
Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet
Scourgify can be used to clean out infestations of what magical creature?,Bundimun
Where was Harry born?,Godric's Hollow
The Medieval Assembly of European Wizards is related to which convention?,International Warlock Convention
Which spell does the Cleaning Charm most resemble?,Scouring Charm
Why did students think Harry was the Heir of Slytherin?,He can speak Parseltongue.
Where are the vaults kept in Gringotts Bank?,Deep underground.
Which dark magic item is known as the friend of thieves?,Hand of Glory
Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock
How does one ward off a Dementor?,The Patronus Charm.
What charm can repel a Lethiford?,Patronus Charm
What dragon did Fleur Delacour face in the first task of the Triwizard Tournament?,Welsh Green
What is an animagus?,A person with an animal form
What's the term for an object imbued with a fragment of a wizard's soul?,Horcrux
What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into
Who spoke at Aragog's funeral?,Horace Slughorn
Who is the ghost of Slytherin House?,The Bloody Baron
Which potion should you all be required to drink before entering my potion?,Wit-Sharpening Potion
Which of the following is NOT a type of Dark Magic?,Charm
"After Draco insults Hermione, Ron cast a spell that backfired. What did he intend for Draco to eat?",Slugs
Where's one place you would not find any gnomes?,Antarctica
Where would you look to find a bezoar?,In the stomach of a goat
How long did the longest Quidditch game last?,Six months
What did Fred and George Weasley use to spy on Order of the Phoenix meetings?,Extendable Ears
"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?",97
Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis
What is the name of the ghost who haunts the Hogwarts bathroom?,Moaning Myrtle
What is the name of the librarian at Hogwarts?,Madam Pince
What are the four Hogwarts houses?,"Gryffindor, Ravenclaw, Slytherin, and Hufflepuff."
How long was You-Know-Who in power?,11 Years
What magical plant did Luna Lovegood have growing at home?,Dirigible Plums
How many teams are in the British and Irish Quidditch League?,Thirteen
"What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for?",Ordinary Wizarding Level and Nastily Exhausting Wizarding Test.
What did the Dursleys give Harry for Christmas in his first year at Hogwarts?,Fifty Pence
The Diricawl is actually thought to be which extinct Muggle bird?,The Dodo.
"In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class?",Professor Snape.
Who was the House-Eld that once served Barty Crouch Senior?,Winky
Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf?,Hokey.
Who is Stan Shunpike?,The conductor of the Knight Bus
Nearly Headless Nick is a patron house of which House?,Gryffindor
Where was Harry Potter born?,Godric's Hollow
What's in a forgetfulness potion?,Lethe Water
What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map
How many times did Wendelin the Weird allow herself to be caught by witch-hunters?,Forty-Seven
What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone?,Fluffy
What item in the Headmaster's Office allows you to review bottled up memories?,The Pensieve
What does the Drought Charm cause?,Dryness
What magical artefact creates the Elixir of Life?,Philosopher's Stone
Who is in the first memory Professor Dumbledore shows Harry in the Pensieve?,"Bob Ogden, an employee of the Department of Magical Law Enforcement"
Which of the following spells is not used in Transfiguration Class?,Confundo
Where did the Goblin Rebellion of 1612 take place?,Hogsmeade Village
In which of these scenarios would you use the impediment jinx?,To slow a rushing opponent.
What is Ron's favorite Quidditch team?,Chudley Cannons
And what about his pet dragon?,Norbert
The visitor’s entrance to the Ministry of Magic is an abandoned red telephone booth in London. What is the five-digit code you must dial to get in?,6-2-4-4-2. (Bonus: This spells M-A-G-I-C on a phone's keypad.)
Which spell did Hermione use to release the dragon from Gringotts Bank?,Revulsion Jinx
What is the incantation for the Disarming Spell?,Expelliarmus
What does the boggart turn into when Mrs. Weasley sees it?,Her entire family and Harry lying dead on the floor
"When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to?",Page 394 (the page on werewolves)
Which dry ingredient is used in a wideye potion?,Billywig Sting
What did Fred and George Weasley call their joke shop?,Weasleys’ Wizard Wheezes
Which of these is not a cleaning spell?,Confrigo
What became outlawed after the Warlock's Convention of 1709?,Dragon breeding.
Who is the Herbology professor?,Professor Sprout
What spell would you use to men a pair of glasses?,Reparo
"Before Dumbledore, who was headmaster of Hogwarts?",Armando Dippet
What does it mean when a magical creature is classified as X by the Ministry of Magic?,Boring
Which Wizarding school did Gellert Grindelwald attend?,Durmstrang Institute
What is the cure for being Petrified?,Mandrake root
What is the biggest Quidditch event?,World Cup
What is the Grim?,A spectral dog
Colovaria is also known as what?,Colour Change Charm
Where was Harry Potter born?,Godric's Hollow.
How can you tell if a door is Imperturbable?,Chuck stuff at it.
Which potion contains Fluxweed?,Polyjuice Potion
What was Gilderoy Lockhart's best Spell?,Obliviate
What other name is the Doxy commonly known by?,The Biting Fairy.
Which potion is commonly featured in Muggle fairy tales?,Draught of Living Death
Which was the last of Voldemort's Horcruxes to be destroyed?,Nagini
Which scent attracts Hermione Granger?,"Freshly mown grass, mint toothpaste, and fresh parchment"
What teleportation magic do sixth-years learn at Hogwarts?,Apparition
What effect does diluted Swooping Evil venom have?,Erases bad memories
What does the house with the highest score win?,House Cup
What is Hermione's cat's name?,Crookshanks
Who removes all the bones from Harry’s arm?,Gilderoy Lockhart
Which was my Tonks favourite band?,The Weird Sisters
How many players are on a Quidditch team?,7
What is the name of the Hogwarts poltergeist?,Peeves
And who is Ron’s actual love interest this year?,Lavender Brown
"In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?",Nearly Headless Nick's Deathday Party
What is the Ministry of Magic classification system?,A creature's danger level
"In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow?",Mortal peril
Who invented the Wronski Feint?,Josef Wronski
How should your completed Scintillation Solution look?,Sparkling.
What is the main ingredient in Harry Potter's wand?,A phoenix feather.
Streeler venom is one of the only substances known to kill which invasive species?,Horklump
Who is the Divination professor?,Professor Trelawney
No spell yet devised allows a wizard to what?,Fly unaided
Which of these spells is a severing charm?,Diffindo
What does the charm Lumos provide?,Light
Which of these is not a form of Transfiguration?,Enchantment
What does the Hair-Raising potion do?,Makes hair stand up
